country_name_x,year,gdp_current_usd,population_total,trade_openness_gdp_pct,log_gdp,log_population,country,node_dli_us,import_share_from_us,vul_us,us_import_share,hhi_imports,ovi_gas,us_production_oil,us_production_gas,us_prod_shock,country_code,country_name_y,in_degree,out_degree,total_degree,norm_in_degree,norm_out_degree,norm_total_degree,in_strength,out_strength,total_strength,norm_in_strength,norm_out_strength,norm_total_strength,betweenness_centrality,pagerank_centrality,eigenvector_centrality
Australia,2000,416167815092.908,19028802.0,40.9352109785505,26.75435441752874,16.761464284058956,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,2000,655448231983.527,174018282.0,22.6397613567941,27.208585162177982,18.974670920624963,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2000,744773415931.587,30685730.0,82.7653578503214,27.33634586937697,17.239308283647823,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,
China,2000,1223754919971.05,1262645000.0,39.0109424774998,27.832945051188403,20.95647456400401,China,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2000,1360959069477.49,60918661.0,57.7860470318197,27.939210765286347,17.925050106104244,France,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2000,1966980701145.1,82211508.0,59.1955992975405,28.307520843973204,18.224805850227323,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,
India,2000,468395521654.458,1057922733.0,26.9009229104474,26.872578907681607,20.77957313652469,India,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,2000,165021012077.81,216077790.0,71.4368759173731,25.82933864866531,19.19114903970289,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2000,1149661363439.38,56942108.0,50.2747311455639,27.77048854836546,17.85754566055495,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,2000,4968359075956.59,126843000.0,19.5623715839054,29.234110735716857,18.65846065919957,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",2000,576179387819.613,47008111.0,66.0951601081834,27.079684886342637,17.665830719253158,"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,
