year,reporter,reporter_name,partner,partner_name,flow,flow_name,product_code,product_name,trade_value_raw_usd
2004,AGO,Angola,ARE,United Arab Emirates,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",7842476.331
2004,AGO,Angola,ARG,Argentina,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,3756161.01
2004,AGO,Angola,ASM,American Samoa,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",35723.221
2004,AGO,Angola,BEL,Belgium,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",134346.467
2004,AGO,Angola,BEL,Belgium,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,361.006
2004,AGO,Angola,BRA,Brazil,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",624877.565
2004,AGO,Angola,CAN,Canada,X,Export,2709,Petroleum oils and oils obtained from bituminous minerals; crude,300382287.5
2004,AGO,Angola,CHE,Switzerland,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",46975.093
2004,AGO,Angola,CHL,Chile,X,Export,2709,Petroleum oils and oils obtained from bituminous minerals; crude,419190925.3
2004,AGO,Angola,CHN,China,X,Export,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4259106021.0
2004,AGO,Angola,CHN,China,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",4495.449
2004,AGO,Angola,COD,Dem. Rep. of the Congo,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,1728959.21
2004,AGO,Angola,COG,Congo,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",1492.511
2004,AGO,Angola,COG,Congo,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,1426199.512
2004,AGO,Angola,DEU,Germany,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",12883.277
2004,AGO,Angola,ESP,Spain,X,Export,2709,Petroleum oils and oils obtained from bituminous minerals; crude,202035533.7
2004,AGO,Angola,ESP,Spain,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",454894.055
2004,AGO,Angola,FRA,France,X,Export,2709,Petroleum oils and oils obtained from bituminous minerals; crude,695078098.1
2004,AGO,Angola,FRA,France,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",967575.887
2004,AGO,Angola,FRA,France,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,34248.793
2004,AGO,Angola,GAB,Gabon,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",40731.426
2004,AGO,Angola,GAB,Gabon,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,24210.766
2004,AGO,Angola,GBR,United Kingdom,M,Import,2709,Petroleum oils and oils obtained from bituminous minerals; crude,979104.747
2004,AGO,Angola,GBR,United Kingdom,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",1766484.099
2004,AGO,Angola,GBR,United Kingdom,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,5381092.695
2004,AGO,Angola,GNQ,Equatorial Guinea,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,1808.527
2004,AGO,Angola,GRC,Greece,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",1.414
2004,AGO,Angola,IDN,Indonesia,X,Export,2709,Petroleum oils and oils obtained from bituminous minerals; crude,250206627.3
2004,AGO,Angola,IND,India,X,Export,2709,Petroleum oils and oils obtained from bituminous minerals; crude,616606586.7
2004,AGO,Angola,ISR,Israel,X,Export,2709,Petroleum oils and oils obtained from bituminous minerals; crude,33060562.32
2004,AGO,Angola,ITA,Italy,X,Export,2709,Petroleum oils and oils obtained from bituminous minerals; crude,47745773.83
2004,AGO,Angola,ITA,Italy,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",244445.14
2004,AGO,Angola,JPN,Japan,X,Export,2709,Petroleum oils and oils obtained from bituminous minerals; crude,21991455.37
2004,AGO,Angola,JPN,Japan,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",22404.615
2004,AGO,Angola,KOR,Rep. of Korea,X,Export,2709,Petroleum oils and oils obtained from bituminous minerals; crude,84339879.39
2004,AGO,Angola,KOR,Rep. of Korea,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",2300.965
2004,AGO,Angola,LBN,Lebanon,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",2334.403
2004,AGO,Angola,LBR,Liberia,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",12756681.69
2004,AGO,Angola,MEX,Mexico,X,Export,2709,Petroleum oils and oils obtained from bituminous minerals; crude,60316880.04
2004,AGO,Angola,NGA,Nigeria,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",158.826
2004,AGO,Angola,NGA,Nigeria,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,425024.998
2004,AGO,Angola,NLD,Netherlands,X,Export,2709,Petroleum oils and oils obtained from bituminous minerals; crude,16935453.29
2004,AGO,Angola,NLD,Netherlands,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",12548.306
2004,AGO,Angola,NOR,Norway,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",42389.954
2004,AGO,Angola,PAN,Panama,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",88.839
2004,AGO,Angola,PER,Peru,X,Export,2709,Petroleum oils and oils obtained from bituminous minerals; crude,37836881.13
2004,AGO,Angola,PRT,Portugal,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",7855913.936
2004,AGO,Angola,PRT,Portugal,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,1949.543
2004,AGO,Angola,RUS,Russian Federation,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",9860.977
2004,AGO,Angola,SAU,Saudi Arabia,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",1152.148
2004,AGO,Angola,SEN,Senegal,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",3155.931
2004,AGO,Angola,SWE,Sweden,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",70505.144
2004,AGO,Angola,TLS,Timor-Leste,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",460.95
2004,AGO,Angola,USA,USA,M,Import,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1646.504
2004,AGO,Angola,USA,USA,X,Export,2709,Petroleum oils and oils obtained from bituminous minerals; crude,3959244586.0
2004,AGO,Angola,USA,USA,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",547397.979
2004,AGO,Angola,USA,USA,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,3202573.6
2004,AGO,Angola,ZAF,South Africa,M,Import,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",19215.371
2004,AGO,Angola,ZAF,South Africa,M,Import,2709,Petroleum oils and oils obtained from bituminous minerals; crude,802.38
2004,AGO,Angola,ZAF,South Africa,X,Export,2709,Petroleum oils and oils obtained from bituminous minerals; crude,159828214.4
2004,AGO,Angola,ZAF,South Africa,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",6383813.181
2004,AGO,Angola,ZAF,South Africa,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,5907.726
2004,AIA,Anguilla,FRA,France,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",12736.0
2004,AIA,Anguilla,FRA,France,X,Export,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",11102.0
2004,AIA,Anguilla,GBR,United Kingdom,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",16922.0
2004,AIA,Anguilla,IRL,Ireland,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",153.0
2004,AIA,Anguilla,JPN,Japan,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",550.0
2004,AIA,Anguilla,NLD,Netherlands,M,Import,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",87.0
2004,AIA,Anguilla,PRT,Portugal,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",184.0
