source,target,weight,data_source
ABW,BEL,94.36,import_reported
ABW,CAN,42291932.68,import_reported
ABW,CHL,12544664.75,import_reported
ABW,CIV,355164.81,import_reported
ABW,COL,19886535.00,import_reported
ABW,CUW,28699.00,export_mirrored
ABW,DOM,46679131.59,import_reported
ABW,FRA,7784009.00,import_reported
ABW,GRD,59291.42,import_reported
ABW,HND,9678.00,import_reported
ABW,KOR,55969198.00,import_reported
ABW,NIC,296883.00,import_reported
ABW,NLD,388.07,import_reported
ABW,PAN,500.00,import_reported
ABW,PER,2584115.26,import_reported
ABW,PRY,1754771.00,import_reported
ABW,SDN,4551042.00,import_reported
ABW,SGP,2044682.97,import_reported
ABW,SLV,5736316.05,import_reported
ABW,SUR,2500.11,import_reported
ABW,USA,26030499.00,import_reported
ABW,VEN,112492.00,export_mirrored
BEL,ABW,6755.94,export_mirrored
BEL,AFG,142492.61,export_mirrored
BEL,AGO,18690036.57,import_reported
BEL,ALB,325987.00,import_reported
BEL,AND,133453.30,import_reported
BEL,ARE,9251239.91,import_reported
BEL,ARG,6116482.26,import_reported
BEL,ARM,1210690.00,import_reported
BEL,ATA,6877.04,export_mirrored
BEL,ATF,590619.34,export_mirrored
BEL,ATG,12944.08,export_mirrored
BEL,AUS,13956514.00,import_reported
BEL,AUT,31484055.96,import_reported
BEL,AZE,21440695.95,import_reported
BEL,BDI,37963.00,import_reported
BEL,BEN,5496855.78,import_reported
BEL,BES,5244686.16,export_mirrored
BEL,BFA,46188038.09,import_reported
BEL,BGD,377007.00,import_reported
BEL,BGR,14601994.00,import_reported
BEL,BHR,268934.04,import_reported
BEL,BHS,571.85,export_mirrored
BEL,BIH,1671040.00,import_reported
BEL,BLR,4480100.00,import_reported
BEL,BLZ,47.00,import_reported
BEL,BOL,697033.47,import_reported
BEL,BRA,48305324.00,import_reported
BEL,BRB,14504.00,import_reported
BEL,BRN,4899.00,import_reported
BEL,BWA,23125.78,import_reported
BEL,CAF,66675.00,import_reported
BEL,CAN,234888393.10,import_reported
BEL,CHE,512920131.14,import_reported
BEL,CHL,2697453.62,import_reported
BEL,CHN,47030694.00,import_reported
BEL,CIV,2529561.61,import_reported
BEL,CMR,2469581.00,import_reported
BEL,COD,4276743.31,import_reported
BEL,COG,2009005.82,import_reported
BEL,COL,1862238.00,import_reported
BEL,CRI,305849.00,import_reported
BEL,CUB,5719081.84,export_mirrored
BEL,CUW,1367262.31,export_mirrored
BEL,CYP,35576811.72,import_reported
BEL,CZE,26891378.00,import_reported
BEL,DEU,2757406083.81,import_reported
BEL,DJI,4444.42,export_mirrored
BEL,DNK,33963605.00,import_reported
BEL,DOM,3777006.61,import_reported
BEL,DZA,4713100.00,import_reported
BEL,ECU,23913744.00,import_reported
BEL,EGY,124504949.52,import_reported
BEL,ERI,3709.34,export_mirrored
BEL,ESP,259130422.61,import_reported
BEL,EST,5041068.00,import_reported
BEL,ETH,2825109.20,import_reported
BEL,FIN,36948147.00,import_reported
BEL,FJI,25839.75,export_mirrored
BEL,FRA,10898498055.00,import_reported
BEL,FRO,563.24,export_mirrored
BEL,GAB,42012178.01,import_reported
BEL,GBR,1722774524.00,import_reported
BEL,GEO,1450172.12,import_reported
BEL,GHA,3120462.49,import_reported
BEL,GIB,22731647.49,export_mirrored
BEL,GIN,21397835.00,import_reported
BEL,GMB,16473.81,import_reported
