country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
ABW,Aruba,Other,14,9,1144892262.84,74635470.00,1219527732.84
BRA,Brazil,Latin_America,67,66,1761567435.81,8047079057.79,9808646493.59
COL,Colombia,Latin_America,52,43,4944464814.17,175843241.11,5120308055.28
ESP,Spain,Europe,128,84,2151197619.23,16875428537.98,19026626157.21
FRA,France,Europe,171,110,4048548471.28,27130526576.03,31179075047.31
GBR,United Kingdom,Europe,171,102,21022661215.11,14228538665.86,35251199880.97
GTM,Guatemala,Other,9,40,108627670.00,750898672.00,859526342.00
GUY,Guyana,Other,5,24,25753.00,62802818.00,62828571.00
HND,Honduras,Other,8,45,3295731.91,342879256.24,346174988.15
IRN,Iran,Middle_East,72,45,18221251624.00,522597045.00,18743848669.00
MEX,Mexico,North_America,82,63,12645222889.95,4961416007.00,17606638896.96
NIC,Nicaragua,Other,10,34,36019147.00,268495782.00,304514929.00
PAN,Panama,Other,31,58,138437407.91,745409569.21,883846977.12
USA,USA,North_America,181,118,10903251851.14,101629265804.42,112532517655.55
VEN,Venezuela,Latin_America,69,47,20682161834.68,279102380.79,20961264215.47
AFG,Afghanistan,Other,3,13,2191461.70,6105020.00,8296481.70
IDN,Indonesia,Asia_Pacific,62,46,14099914159.53,5427640868.00,19527555027.53
VCT,Saint Vincent and the Grenadines,Other,4,35,2464.00,38015698.46,38018162.46
AGO,Angola,Africa,20,24,5482371982.43,107701965.27,5590073947.70
BEN,Benin,Other,6,31,10582682.96,75016095.00,85598777.96
BFA,Burkina Faso,Other,17,48,6683834.00,196614417.49,203298251.49
CAN,Canada,North_America,121,82,15819974461.06,10876447632.73,26696422093.78
CHN,China,Asia_Pacific,134,77,5822223850.12,16728582570.54,22550806420.66
CPV,Cabo Verde,Other,1,21,97.00,15229119.32,15229216.32
DEU,Germany,Europe,165,89,4899950515.97,29375876468.72,34275826984.69
ITA,Italy,Europe,156,88,4537618027.94,19630725996.01,24168344023.95
JPN,Japan,Asia_Pacific,144,77,1067317691.85,69623070566.68,70690388258.53
KOR,Rep. of Korea,Asia_Pacific,107,79,7800011871.30,33479320563.00,41279332434.30
NLD,Netherlands,Europe,155,88,17888814092.52,17237319343.23,35126133435.75
PRT,Portugal,Other,59,57,282139981.98,3718016389.83,4000156371.81
STP,Sao Tome and Principe,Other,0,19,0.00,5324604.77,5324604.77
THA,Thailand,Asia_Pacific,67,68,1634260330.53,7364726886.00,8998987216.52
ZAF,South Africa,Africa,111,63,3368062715.12,3693154370.93,7061217086.05
AIA,Anguilla,Other,5,10,424003.71,6487917.00,6911920.71
AZE,Azerbaijan,Former_USSR,44,32,1620702799.37,188379649.83,1809082449.20
FJI,Fiji,Other,8,17,5265312.00,66334622.00,71599934.00
MWI,Malawi,Other,6,21,1100096.26,88832759.95,89932856.21
VGB,Br. Virgin Isds,Other,6,14,79828579.00,3456122667.00,3535951246.00
ALB,Albania,Other,9,33,3511963.56,73154414.00,76666377.56
AUT,Austria,Other,110,55,480781907.26,3118321214.65,3599103121.91
GRC,Greece,Other,125,66,891699507.79,4261073702.41,5152773210.20
MAR,Morocco,Other,24,42,301402348.62,1874790218.52,2176192567.14
