country,year,ovi_gas
CAN,2000,0.0
MEX,2000,0.0
USA,2000,0.04501658257884167
ARG,2000,0.0
BRA,2000,0.0
CHL,2000,0.0
COL,2000,0.0
ECU,2000,0.0
PER,2000,0.0
VEN,2000,0.0
AUT,2000,0.0
BEL,2000,0.578116773018641
BGR,2000,0.0
HRV,2000,0.0
Cyprus,2000,
CZE,2000,0.0
DNK,2000,0.0
EST,2000,0.0
FIN,2000,0.0
FRA,2000,0.3007956226928565
DEU,2000,0.0
GRC,2000,3.5384368673532762
HUN,2000,0.0
IRL,2000,0.0
ITA,2000,0.05008950183706932
LVA,2000,0.0
LTU,2000,0.0
Luxembourg,2000,0.0
NLD,2000,0.0
North Macedonia,2000,0.0
NOR,2000,0.0
POL,2000,0.0
PRT,2000,0.0
ROU,2000,0.0
SVK,2000,0.0
SVN,2000,0.0
ESP,2000,2.305553827435821
SWE,2000,0.0
CHE,2000,0.0
TUR,2000,0.5753231263190612
UKR,2000,0.0
GBR,2000,0.0
AZE,2000,0.0
BLR,2000,0.0
KAZ,2000,0.0
RUS,2000,0.0
TKM,2000,0.0
UZB,2000,0.0
IRN,2000,0.0
IRQ,2000,0.0
ISR,2000,0.0
KWT,2000,0.0
OMN,2000,0.0
QAT,2000,0.0
SAU,2000,0.0
ARE,2000,0.0
DZA,2000,0.0
EGY,2000,0.0
MAR,2000,0.0
ZAF,2000,0.0
AUS,2000,0.0
BGD,2000,0.0
CHN,2000,0.0
IND,2000,0.0
IDN,2000,0.0
JPN,2000,3.2577274078925544
MYS,2000,0.0
NZL,2000,0.0
PAK,2000,0.0
PHL,2000,0.0
SGP,2000,0.0
KOR,2000,6.557029180718487
LKA,2000,
Taiwan,2000,2.1101174604231248
THA,2000,0.0
VNM,2000,0.0
CAN,2001,0.0
MEX,2001,0.0
USA,2001,0.04709501795876092
ARG,2001,0.0
BRA,2001,0.0
CHL,2001,0.0
COL,2001,0.0
ECU,2001,0.0
PER,2001,0.0
VEN,2001,0.0
AUT,2001,0.0
BEL,2001,0.5852284581681619
BGR,2001,0.0
HRV,2001,0.0
Cyprus,2001,
CZE,2001,0.0
DNK,2001,0.0
EST,2001,0.0
FIN,2001,0.0
FRA,2001,0.2865229777138617
DEU,2001,0.0
GRC,2001,3.5854655338518575
HUN,2001,0.0
IRL,2001,0.0
ITA,2001,0.049952563429654866
LVA,2001,0.0
LTU,2001,0.0
Luxembourg,2001,0.0
NLD,2001,0.0
North Macedonia,2001,0.0
NOR,2001,0.0
POL,2001,0.0
PRT,2001,0.0
ROU,2001,0.0
SVK,2001,0.0
SVN,2001,0.0
ESP,2001,2.1395495034812666
SWE,2001,0.0
CHE,2001,0.0
TUR,2001,0.5228774354503928
UKR,2001,0.0
GBR,2001,0.0
AZE,2001,0.0
BLR,2001,0.0
KAZ,2001,0.0
RUS,2001,0.0
TKM,2001,0.0
UZB,2001,0.0
IRN,2001,0.0
IRQ,2001,0.0
ISR,2001,0.0
KWT,2001,0.0
OMN,2001,0.0
QAT,2001,0.0
SAU,2001,0.0
ARE,2001,0.0
DZA,2001,0.0
EGY,2001,0.0
MAR,2001,0.0
ZAF,2001,0.0
AUS,2001,0.0
BGD,2001,0.0
CHN,2001,0.0
IND,2001,0.0
IDN,2001,0.0
JPN,2001,3.3059736175909316
MYS,2001,0.0
NZL,2001,0.0
PAK,2001,0.0
PHL,2001,0.0
SGP,2001,0.0
KOR,2001,5.969366441329517
LKA,2001,
Taiwan,2001,1.9590088502720593
THA,2001,0.0
VNM,2001,0.0
CAN,2002,0.0
MEX,2002,0.0
USA,2002,0.04561762368989391
ARG,2002,0.0
BRA,2002,0.0
CHL,2002,0.0
COL,2002,0.0
ECU,2002,0.0
PER,2002,0.0
VEN,2002,0.0
AUT,2002,0.0
BEL,2002,0.566934206641076
BGR,2002,0.0
HRV,2002,0.0
Cyprus,2002,
CZE,2002,0.0
DNK,2002,0.0
EST,2002,0.0
FIN,2002,0.0
FRA,2002,0.28701016360519815
DEU,2002,0.0
GRC,2002,3.3337917296961668
HUN,2002,0.0
IRL,2002,0.0
ITA,2002,0.050293727200670074
LVA,2002,0.0
LTU,2002,0.0
Luxembourg,2002,0.0
NLD,2002,0.0
North Macedonia,2002,0.0
NOR,2002,0.0
POL,2002,0.0
PRT,2002,0.0
ROU,2002,0.0
SVK,2002,0.0
SVN,2002,0.0
ESP,2002,1.8712648275476373
SWE,2002,0.0
CHE,2002,0.0
TUR,2002,0.48222791218572025
UKR,2002,0.0
GBR,2002,0.0
AZE,2002,0.0
BLR,2002,0.0
KAZ,2002,0.0
RUS,2002,0.0
TKM,2002,0.0
UZB,2002,0.0
IRN,2002,0.0
IRQ,2002,0.0
ISR,2002,0.0
KWT,2002,0.0
OMN,2002,0.0
QAT,2002,0.0
SAU,2002,0.0
ARE,2002,0.0
DZA,2002,0.0
EGY,2002,0.0
MAR,2002,0.0
ZAF,2002,0.0
AUS,2002,0.0
BGD,2002,0.0
CHN,2002,0.0
IND,2002,0.0
IDN,2002,0.0
JPN,2002,3.379110959086184
MYS,2002,0.0
NZL,2002,0.0
PAK,2002,0.0
PHL,2002,0.0
SGP,2002,0.0
KOR,2002,6.862515462735896
LKA,2002,
Taiwan,2002,1.7515556020112197
THA,2002,0.0
VNM,2002,0.0
CAN,2003,0.0
MEX,2003,0.0
USA,2003,0.04697520236079759
ARG,2003,0.0
BRA,2003,0.0
CHL,2003,0.0
COL,2003,0.0
ECU,2003,0.0
PER,2003,0.0
VEN,2003,0.0
AUT,2003,0.0
BEL,2003,0.5321768053087246
BGR,2003,0.0
HRV,2003,0.0
Cyprus,2003,
CZE,2003,0.0
DNK,2003,0.0
EST,2003,0.0
FIN,2003,0.0
FRA,2003,0.27362494553251837
DEU,2003,0.0
GRC,2003,2.9489552554330323
HUN,2003,0.0
IRL,2003,0.0
ITA,2003,0.04561726675800944
LVA,2003,0.0
LTU,2003,0.0
Luxembourg,2003,0.0
NLD,2003,0.0
North Macedonia,2003,0.0
NOR,2003,0.0
POL,2003,0.0
PRT,2003,0.0
ROU,2003,0.0
SVK,2003,0.0
SVN,2003,0.0
ESP,2003,1.9226115816446656
SWE,2003,0.0
CHE,2003,0.0
