reporter,reporter_name,总出口额(十亿美元)
USA,USA,6311.028428558
CHN,China,4039.536038801
KOR,Rep. of Korea,3223.821831085
RUS,Russian Federation,3182.208556954901
IND,India,3134.814856855084
JPN,Japan,3124.981225749616
NLD,Netherlands,2764.671111580527
SGP,Singapore,2582.667062369066
GBR,United Kingdom,2221.959518774786
DEU,Germany,2210.561023790588
FRA,France,2055.661442244428
ITA,Italy,1866.660667344306
AUS,Australia,1749.91331807373
NOR,Norway,1696.867207900784
ESP,Spain,1542.242564746241
BEL,Belgium,1525.990349322492
CAN,Canada,1439.5990076766989
IDN,Indonesia,1385.142540817878
MYS,Malaysia,1288.171347792385
S19,"Other Asia, nes",1259.713617019366
