year,记录数,总贸易额(美元),平均贸易额(美元),报告国数,伙伴国数,总贸易额(十亿美元)
2001,16714,1104847827844.57,66103136.76,167,238,1104.84782784457
2002,17254,1101835630357.57,63859721.24,169,238,1101.8356303575702
2003,17400,1347786309757.79,77458983.32,171,236,1347.7863097577901
2004,18530,1641837069323.97,88604267.1,174,238,1641.83706932397
2005,18768,2062313421418.2,109884559.96,172,236,2062.3134214182
2006,19876,2549362810757.91,128263373.45,175,238,2549.36281075791
2007,20642,2825662243755.56,136888976.06,177,237,2825.66224375556
2008,21156,3890328244610.05,183887703.0,174,239,3890.3282446100498
2009,21446,2779461680008.96,129602801.46,177,240,2779.46168000896
2010,22220,3479177660104.18,156578652.57,177,240,3479.17766010418
2011,22730,4459263620984.84,196184057.24,176,240,4459.26362098484
2012,22873,4600748667150.21,201143211.09,172,243,4600.74866715021
2013,23371,4561088635101.85,195160182.92,174,244,4561.08863510185
2014,23367,4202526289975.21,179848773.48,170,241,4202.52628997521
2015,24256,2931806309924.06,120869323.46,174,241,2931.80630992406
2016,24204,2520329324562.29,104128628.51,175,240,2520.32932456229
2017,24964,3002043948560.58,120254925.03,177,239,3002.0439485605802
2018,25098,3591281749854.68,143090355.8,175,240,3591.28174985468
2019,25034,3229434036471.68,129001918.85,169,240,3229.43403647168
2020,24134,2339919411407.79,96955308.34,165,240,2339.91941140779
2021,24904,3443774969208.94,138282001.65,166,240,3443.77496920894
2022,24949,4851725656748.06,194465736.37,160,241,4851.72565674806
2023,24783,4007302558469.24,161695620.32,155,241,4007.30255846924
2024,18734,3111593768911.59,166093400.71,94,241,3111.59376891159
