year,reporter,reporter_name,partner,partner_name,flow,flow_name,product_code,product_name,trade_value_raw_usd
2001,AIA,Anguilla,ANT,Netherlands Antilles (...2010),M,Import,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",153.0
2001,AIA,Anguilla,ANT,Netherlands Antilles (...2010),M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",7784.0
2001,AIA,Anguilla,ANT,Netherlands Antilles (...2010),X,Export,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",185.0
2001,AIA,Anguilla,ANT,Netherlands Antilles (...2010),M,Import,2711,Petroleum gases and other gaseous hydrocarbons,249.0
2001,AIA,Anguilla,BHS,Bahamas,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",970.0
2001,AIA,Anguilla,CAN,Canada,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",50.0
2001,AIA,Anguilla,FRA,France,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",3530.0
2001,AIA,Anguilla,GBR,United Kingdom,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",73.0
2001,AIA,Anguilla,JPN,Japan,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",75.0
2001,AIA,Anguilla,TTO,Trinidad and Tobago,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",2651618.0
2001,AIA,Anguilla,TTO,Trinidad and Tobago,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,460180.0
2001,AIA,Anguilla,USA,USA,M,Import,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",3221.0
2001,AIA,Anguilla,USA,USA,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",3196162.0
2001,AIA,Anguilla,USA,USA,X,Export,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",1183.0
2001,AIA,Anguilla,USA,USA,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,146810.0
2001,AIA,Anguilla,VGB,Br. Virgin Isds,X,Export,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",889.0
2001,ALB,Albania,AUT,Austria,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",22201.0
2001,ALB,Albania,AUT,Austria,X,Export,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",512.0
2001,ALB,Albania,AZE,Azerbaijan,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",785345.0
2001,ALB,Albania,BGR,Bulgaria,M,Import,2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",51376.0
