source,target,weight,data_source
A59,NER,1483267.0,import_reported
A59,SGP,3415.0,import_reported
NER,AUS,5710.0,import_reported
NER,BFA,665.0,export_mirrored
NER,BMU,1167459.0,import_reported
NER,CIV,1772591.0,export_mirrored
NER,CMR,3289065.0,export_mirrored
NER,DZA,2878.0,export_mirrored
NER,FRA,15162710.0,import_reported
NER,GAB,3285.0,export_mirrored
NER,ITA,3801.0,export_mirrored
NER,KEN,126881.0,import_reported
NER,KWT,13349.0,export_mirrored
NER,LBY,1562.0,export_mirrored
NER,MLI,4218.0,import_reported
NER,MRT,7904.0,export_mirrored
NER,NGA,45106.0,export_mirrored
NER,TCD,1025.0,export_mirrored
NER,TGO,8108.0,import_reported
NER,TUN,150.0,export_mirrored
NER,USA,60561740.0,import_reported
NER,_X ,5150558.0,export_mirrored
SGP,A59,789.0,export_mirrored
SGP,AFG,522.0,export_mirrored
SGP,ARE,7213068.0,import_reported
SGP,ARG,32.0,import_reported
SGP,ATF,190837.0,export_mirrored
SGP,ATG,500450.0,export_mirrored
SGP,AUS,3702196053.0,import_reported
SGP,AUT,1835.0,import_reported
SGP,AZE,57043.0,import_reported
SGP,BEL,72917783.0,import_reported
SGP,BEN,2316.0,import_reported
SGP,BGD,137999376.0,import_reported
SGP,BHR,204571.0,import_reported
SGP,BHS,7264794.0,export_mirrored
SGP,BRA,66433576.0,import_reported
SGP,BRN,12614968.0,export_mirrored
SGP,BTN,14953.0,import_reported
SGP,CAN,31.0,import_reported
SGP,CHE,626.417,import_reported
SGP,CHL,2125.786,import_reported
SGP,CHN,2085513732.0,import_reported
SGP,CIV,68450.0,import_reported
SGP,COK,13199.0,import_reported
SGP,CRI,12567.0,export_mirrored
SGP,CXR,2713499.0,export_mirrored
SGP,CYP,74323.0,import_reported
SGP,DEU,483000.0,import_reported
SGP,DJI,1413010.0,export_mirrored
SGP,DNK,14146.0,import_reported
SGP,DZA,790.0,export_mirrored
SGP,E19,7493.0,export_mirrored
SGP,ECU,21565.0,import_reported
SGP,EGY,249.366,import_reported
SGP,ESP,10258637.4,import_reported
SGP,ETH,3366000.823,import_reported
SGP,F19,6746759.0,export_mirrored
SGP,FIN,13001.0,import_reported
SGP,FJI,430657201.0,import_reported
SGP,FRA,341212000.0,import_reported
SGP,FSM,4483077.0,import_reported
SGP,GAB,9559.0,import_reported
SGP,GBR,100882429.0,import_reported
SGP,GHA,48749.0,import_reported
SGP,GRC,85180.0,import_reported
SGP,GTM,6945094.0,import_reported
SGP,GUM,373410832.0,export_mirrored
SGP,HKG,3915194677.0,import_reported
SGP,HRV,511.0,import_reported
SGP,IDN,6518946262.0,import_reported
SGP,IND,4613222.0,import_reported
SGP,IRN,241376704.0,import_reported
SGP,ISR,1000.0,import_reported
SGP,ITA,17827016.4,import_reported
SGP,JOR,125401.0,import_reported
SGP,JPN,444850447.0,import_reported
SGP,KAZ,3214560.0,import_reported
SGP,KEN,17146525.0,import_reported
SGP,KGZ,16724.0,import_reported
SGP,KHM,29013244.0,import_reported
SGP,KIR,1220094.0,import_reported
SGP,KOR,133618797.0,import_reported
SGP,KWT,415919.0,export_mirrored
SGP,LAO,1102.0,export_mirrored
SGP,LBN,287000.0,import_reported
SGP,LBY,52563.0,export_mirrored
SGP,LKA,116604898.0,import_reported
SGP,LTU,116926.0,import_reported
SGP,MAC,168353391.42,import_reported
SGP,MAR,67283.38,import_reported
SGP,MDG,152199.22,import_reported
SGP,MDV,22026476.0,import_reported
SGP,MEX,8639.0,import_reported
SGP,MHL,24780.0,export_mirrored
SGP,MMR,165729086.0,export_mirrored
SGP,MNG,194.0,import_reported
SGP,MNP,91153350.0,export_mirrored
SGP,MOZ,25696.0,export_mirrored
SGP,MUS,24312968.0,import_reported
SGP,MYS,3659409084.0,import_reported
SGP,MYT,1397.0,import_reported
SGP,NAM,84.0,import_reported
SGP,NCL,244831807.0,import_reported
SGP,NGA,120737.0,export_mirrored
SGP,NLD,162345566.0,import_reported
SGP,NPL,116594.0,export_mirrored
SGP,NZL,466144435.0,import_reported
SGP,O19,115202395.0,export_mirrored
SGP,OMN,118866.0,import_reported
SGP,PAK,22294368.0,import_reported
SGP,PER,22460.0,import_reported
SGP,PHL,956448517.0,import_reported
SGP,PNG,100420708.0,export_mirrored
SGP,PRK,904790.0,export_mirrored
SGP,PRT,142.0,import_reported
SGP,PYF,145565354.0,import_reported
SGP,QAT,218493.0,import_reported
SGP,ROU,1311.0,export_mirrored
SGP,RUS,5300502.0,import_reported
SGP,S19,192283165.0,import_reported
SGP,SAU,1566586.0,import_reported
SGP,SDN,1334372.805,import_reported
SGP,SEN,17166.0,import_reported
SGP,SLB,207360.0,import_reported
SGP,SLV,10631745.29,import_reported
SGP,SYC,327858.272,import_reported
SGP,SYR,40112431.0,export_mirrored
SGP,TGO,12445.0,import_reported
SGP,THA,622452702.0,import_reported
SGP,TLS,8042534.0,import_reported
SGP,TON,1739910.0,import_reported
SGP,TUN,116710.0,import_reported
SGP,TUR,8466.0,import_reported
SGP,TUV,2113043.0,import_reported
SGP,TZA,626616.0,import_reported
SGP,UGA,168719.0,import_reported
SGP,UKR,7776.0,import_reported
SGP,USA,255003840.0,import_reported
SGP,VEN,38538.0,import_reported
SGP,VNM,2200003070.0,import_reported
SGP,VUT,9578.0,export_mirrored
SGP,WLF,214.0,import_reported
SGP,WSM,8059287.0,import_reported
SGP,YEM,279690.0,import_reported
SGP,ZAF,25923843.0,import_reported
SGP,ZWE,118419.94,import_reported
ABW,ATG,713082.0,import_reported
ABW,BEL,40263444.0,import_reported
ABW,BHS,2854763.0,import_reported
ABW,BMU,1276.0,import_reported
ABW,BRA,117516901.0,import_reported
ABW,BRB,1100000.0,import_reported
ABW,CAN,43605258.0,import_reported
ABW,COL,12994542.0,import_reported
ABW,CRI,139934529.0,import_reported
ABW,CUB,920571.0,import_reported
ABW,ESP,126590666.9,import_reported
ABW,FRA,122519827.0,import_reported
ABW,GBR,53433964.0,import_reported
ABW,MEX,25089998.0,import_reported
ABW,NLD,49598752.0,import_reported
ABW,SWE,17355951.0,import_reported
ABW,TTO,43254521.0,import_reported
ABW,USA,2963626115.0,import_reported
ABW,ZWE,14309.63,import_reported
ATG,AIA,8270034.0,export_mirrored
ATG,ANT,27483335.0,export_mirrored
ATG,BHS,23829.0,export_mirrored
ATG,BLZ,8936.0,export_mirrored
ATG,BMU,24833.0,export_mirrored
ATG,BRA,6792.0,export_mirrored
ATG,BRB,992.0,import_reported
ATG,CRI,42203.0,export_mirrored
ATG,DMA,3967939.0,export_mirrored
ATG,ESP,2713596.705,import_reported
ATG,FRA,2025676.0,import_reported
ATG,GBR,5880789.0,export_mirrored
ATG,GIB,18747.0,export_mirrored
ATG,GRC,135241.0,export_mirrored
ATG,GRD,53300.0,export_mirrored
ATG,GTM,56451.0,export_mirrored
ATG,GUY,784505.0,export_mirrored
ATG,ITA,6874.0,export_mirrored
ATG,KNA,10481590.0,export_mirrored
ATG,LCA,37.0,import_reported
ATG,MEX,491.0,import_reported
ATG,MRT,595906.0,export_mirrored
ATG,MSR,11992.0,export_mirrored
