country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
A59,"North America and Central America, nes",Other,1,1,9263320.0,17333981401.0,17343244721.0
SGP,Singapore,Asia_Pacific,108,87,13051706799.637999,18267091195.719,31318797995.357002
ABW,Aruba,Other,16,12,1134193318.0,847367159.224,1981560477.224
ARG,Argentina,Latin_America,47,52,5497388840.296,268520024.0,5765908864.296
BEL,Belgium,Europe,167,83,10614927293.202,19408571839.152,30023499132.354
BRA,Brazil,Latin_America,77,69,4218917294.2520003,7519991466.61,11738908760.862
COL,Colombia,Latin_America,55,49,5075479593.849,226009653.14,5301489246.989
CRI,Costa Rica,Other,33,41,21198447.4,566567163.0,587765610.4
ECU,Ecuador,Latin_America,27,36,2841998747.1920004,365173656.0,3207172403.1920004
FRA,France,Europe,182,107,5057478306.872,33435630626.814,38493108933.686
GBR,United Kingdom,Europe,171,101,24980645644.492,17709770087.22,42690415731.712006
GTM,Guatemala,Other,24,55,207018819.25,1080421540.37,1287440359.62
HND,Honduras,Other,12,53,3205278.59,499135877.0,502341155.59
LBN,Lebanon,Other,48,60,47609053.257,1123530262.1,1171139315.3569999
MEX,Mexico,North_America,83,58,19745942054.802,5317778451.52,25063720506.322
PER,Peru,Latin_America,36,45,689042089.84,1425473355.0,2114515444.8400002
TTO,Trinidad and Tobago,Other,45,50,4714623886.65,1074883407.0,5789507293.65
USA,USA,North_America,188,131,13045402753.909996,158191204260.529,171236607014.439
VEN,Venezuela,Latin_America,54,37,25972283712.483,60762113.64,26033045826.123
AFG,Afghanistan,Other,4,18,49805583.0,121841798.418,171647381.41799998
LKA,Sri Lanka,Other,15,37,2058555.704,739999401.451,742057957.155
MOZ,Mozambique,Other,19,28,36717624.859,247789624.19,284507249.049
AGO,Angola,Africa,22,29,8973687528.02,76881230.784,9050568758.804
CAN,Canada,North_America,136,90,39345067585.82,13983347763.0,53328415348.82
CHL,Chile,Latin_America,33,49,647327630.6039999,3592540511.290999,4239868141.8949986
CHN,China,Asia_Pacific,159,90,8548134807.283999,27997758000.294,36545892807.577995
CMR,Cameroon,Other,37,46,1292888554.069,233062038.0,1525950592.069
DEU,Germany,Europe,179,95,10633717909.498001,49824241433.012,60457959342.51
ESP,Spain,Europe,139,93,4217661551.0870004,21067643491.647,25285305042.734
IDN,Indonesia,Asia_Pacific,73,56,18203766095.138,7591242765.740999,25795008860.878998
ITA,Italy,Europe,164,91,6012429538.499998,23860527113.374992,29872956651.874992
JPN,Japan,Asia_Pacific,145,83,1626053202.6299999,80169365114.565,81795418317.195
KOR,Rep. of Korea,Asia_Pacific,121,84,7579762784.578002,37964356215.93,45544119000.508
NAM,Namibia,Other,25,26,12207127.44,148062571.177,160269698.61699998
NLD,Netherlands,Europe,159,87,21582950930.875,22081042689.22,43663993620.095
PRT,Portugal,Other,64,60,555465165.974,4495817490.906,5051282656.88
S19,"Other Asia, nes",Other,106,61,3115564819.3710003,15092482823.96,18208047643.331
STP,Sao Tome and Principe,Other,1,14,1558.0,6797049.806,6798607.806
URY,Uruguay,Other,10,26,29454494.49,473746340.865,503200835.355
ZAF,South Africa,Africa,117,76,4076679904.6050005,3915111404.817,7991791309.422001
AIA,Anguilla,Other,2,13,11568.0,7720350.0,7731918.0
ANT,Netherlands Antilles (...2010),Other,39,24,1103534540.7,4907432237.190001,6010966777.89
ALB,Albania,Other,13,40,2771223.52,102005010.0,104776233.52
ATG,Antigua and Barbuda,Other,5,23,5204188.0,47335127.805,52539315.805
AUT,Austria,Other,114,61,700905764.6719999,5468569859.34,6169475624.012
GRC,Greece,Other,122,67,895069771.1669999,5990988029.0,6886057800.167
MKD,North Macedonia,Other,26,38,70507739.91999999,291692806.33,362200546.25
MLT,Malta,Other,32,59,232740497.844,451474049.31600004,684214547.1600001
ROU,Romania,Other,91,59,917093810.175,2433243376.5530005,3350337186.7280006
SCG,Serbia and Montenegro (...2005),Other,16,35,25504425.365,183035176.418,208539601.78300002
TUR,T_kiye,Other,92,74,1131130881.1020002,2979397371.05,4110528252.1520004
TZA,United Rep. of Tanzania,Other,21,54,25313882.1,403207580.516,428521462.616
AND,Andorra,Other,4,10,2364944.361,66543132.0,68908076.361
BWA,Botswana,Other,4,9,1765506.45,128242468.0,130007974.45
AUS,Australia,Asia_Pacific,116,64,18242591695.308,6842268120.287,25084859815.594997
BHS,Bahamas,Other,28,38,566534162.025,811398018.789,1377932180.8140001
BLZ,Belize,Other,8,25,29371718.3,47805615.387,77177333.687
CUB,Cuba,Other,12,43,24956989.325,1002563736.23,1027520725.5550001
DNK,Denmark,Europe,103,60,3959846786.2920003,2321647717.094,6281494503.386
DOM,Dominican Rep.,Other,19,35,141658818.0,1520708195.674,1662367013.674
GUY,Guyana,Other,6,27,110434.0,141472567.0,141583001.0
JAM,Jamaica,Other,19,42,19236196.0,747527766.1800001,766763962.1800001
KNA,Saint Kitts and Nevis,Other,4,12,21409.0,17629075.0,17650484.0
NIC,Nicaragua,Other,10,39,5617171.266999999,339719293.0,345336464.267
PAN,Panama,Other,32,59,150615259.67000002,613945702.963,764560962.6330001
POL,Poland,Other,70,48,1363916286.1920002,5967979911.212,7331896197.404
PRY,Paraguay,Other,4,26,1710766.0,368364106.0,370074872.0
SEN,Senegal,Other,25,43,210504683.618,440360167.478,650864851.096
SLV,El Salvador,Other,17,43,26238607.237999998,585093625.5000001,611332232.7380002
SUR,Suriname,Other,13,27,14352571.0,103090789.0,117443360.0
TGO,Togo,Other,13,51,202641924.0,119192080.897,321834004.897
THA,Thailand,Asia_Pacific,75,68,2226044403.328,8896629938.0,11122674341.328
VNM,Viet Nam,Other,57,45,4418235143.913,2641256441.83,7059491585.743
ARE,United Arab Emirates,Middle_East,134,72,35038297690.076996,404690965.65200007,35442988655.729
ARM,Armenia,Other,2,29,134908.0,89806510.0,89941418.0
AZE,Azerbaijan,Former_USSR,50,33,1947227210.847,237026303.72,2184253514.567
BDI,Burundi,Other,3,15,297304.0,26882893.0,27180197.0
BEN,Benin,Other,8,34,130857897.0,126351504.64,257209401.64
BFA,Burkina Faso,Other,5,30,68679.0,131158524.0,131227203.0
BGD,Bangladesh,Other,16,53,24816866.0,1080976643.0,1105793509.0
BGR,Bulgaria,Other,87,51,430672857.25,416290327.449,846963184.699
BHR,Bahrain,Middle_East,45,37,5811944812.468,2081256606.0,7893201418.468
BIH,Bosnia Herzegovina,Other,22,43,26532384.1,230259939.05,256792323.15
CIV,C_e d'Ivoire,Other,55,44,520316722.18,566430887.3479999,1086747609.5279999
COD,Dem. Rep. of the Congo,Other,4,22,165051519.0,111343838.665,276395357.665
COG,Congo,Other,23,21,2312799510.8190002,22540715.41,2335340226.229
COM,Comoros,Other,1,15,12108.0,9560694.870000001,9572802.870000001
CYP,Cyprus,Other,23,65,102166954.4,572999709.279,675166663.679
CZE,Czechia,Other,73,51,632737366.911,3508172801.822,4140910168.733
DJI,Djibouti,Other,4,13,5813739.408,2594959.674,8408699.082
DZA,Algeria,Africa,79,45,22004423455.190002,98468511.82,22102891967.010002
EGY,Egypt,Africa,85,54,3222426069.333,574553704.8859999,3796979774.219
ERI,Eritrea,Other,0,16,0.0,501216.743,501216.743
EST,Estonia,Other,76,36,537162273.72,455425214.0,992587487.72
ETH,Ethiopia,Other,0,32,0.0,8740988.570000002,8740988.570000002
F19,"Other Africa, nes",Other,1,6,5.0,4387731988.0,4387731993.0
GAB,Gabon,Other,46,26,2886497990.186,21011260.064,2907509250.25
GEO,Georgia,Other,32,35,382439788.144,171948409.92000002,554388198.064
GHA,Ghana,Other,18,47,66543121.12,585839327.0,652382448.12
GMB,Gambia,Other,5,21,14645.478,22311458.697999995,22326104.175999995
GNQ,Equatorial Guinea,Other,9,16,2461813740.252,31841424.845,2493655165.0969996
HKG,"China, Hong Kong SAR",Other,72,40,65555964.963,3980355789.0,4045911753.963
HRV,Croatia,Other,57,54,358250377.434,1465087252.917,1823337630.351
HUN,Hungary,Other,44,42,537115497.153,2318118694.3,2855234191.453
IND,India,Asia_Pacific,105,59,3406011399.197,24977300511.719,28383311910.916
