year,nodes,edges,density,is_connected,num_weakly_connected_components,total_trade_value,avg_trade_value,max_trade_value,median_trade_value,std_trade_value,usa_out_strength,usa_in_strength,usa_total_strength,usa_trade_share,chn_out_strength,chn_in_strength,chn_total_strength,chn_trade_share,rus_out_strength,rus_in_strength,rus_total_strength,rus_trade_share,sau_out_strength,sau_in_strength,sau_total_strength,sau_trade_share,are_out_strength,are_in_strength,are_total_strength,are_trade_share,nor_out_strength,nor_in_strength,nor_total_strength,nor_trade_share,qat_out_strength,qat_in_strength,qat_total_strength,qat_trade_share,aus_out_strength,aus_in_strength,aus_total_strength,aus_trade_share,deu_out_strength,deu_in_strength,deu_total_strength,deu_trade_share,jpn_out_strength,jpn_in_strength,jpn_total_strength,jpn_trade_share,kor_out_strength,kor_in_strength,kor_total_strength,kor_trade_share,ind_out_strength,ind_in_strength,ind_total_strength,ind_trade_share,gbr_out_strength,gbr_in_strength,gbr_total_strength,gbr_trade_share,fra_out_strength,fra_in_strength,fra_total_strength,fra_trade_share,ita_out_strength,ita_in_strength,ita_total_strength,ita_trade_share,esp_out_strength,esp_in_strength,esp_total_strength,esp_trade_share,nld_out_strength,nld_in_strength,nld_total_strength,nld_trade_share,bel_out_strength,bel_in_strength,bel_total_strength,bel_trade_share,can_out_strength,can_in_strength,can_total_strength,can_trade_share,mex_out_strength,mex_in_strength,mex_total_strength,mex_trade_share,bra_out_strength,bra_in_strength,bra_total_strength,bra_trade_share,arg_out_strength,arg_in_strength,arg_total_strength,arg_trade_share,ven_out_strength,ven_in_strength,ven_total_strength,ven_trade_share,col_out_strength,col_in_strength,col_total_strength,col_trade_share,irn_out_strength,irn_in_strength,irn_total_strength,irn_trade_share,irq_out_strength,irq_in_strength,irq_total_strength,irq_trade_share,kwt_out_strength,kwt_in_strength,kwt_total_strength,kwt_trade_share,omn_out_strength,omn_in_strength,omn_total_strength,omn_trade_share,idn_out_strength,idn_in_strength,idn_total_strength,idn_trade_share,tha_out_strength,tha_in_strength,tha_total_strength,tha_trade_share
2001,225,7204,0.14293650793650794,True,1,540578910849.5123,75038716.10903831,14331295099.0,183186.0,524097275.90823555,10903251851.139002,101629265804.41501,112532517655.55402,0.2081703806733983,5822223850.120999,16728582570.54,22550806420.661,0.041716030662799476,48594784796.79201,797915990.6,49392700787.392006,0.09137001054993443,57754367083.914,74849416.215,57829216500.129,0.10697645679379386,23885725866.959,446367658.93299997,24332093525.892,0.04501117790121418,30202147031.376003,954498671.5639999,31156645702.940002,0.05763570327591537,10579622758.26,14510837.0,10594133595.26,0.01959775600311796,13986770163.798002,5279368502.3029995,19266138666.101,0.035639826636641316,4899950515.973999,29375876468.721,34275826984.695,0.06340577905791961,1067317691.848,69623070566.685,70690388258.533,0.1307679357070072,7800011871.297001,33479320563.0,41279332434.297,0.07636134448794367,1488314146.9679997,4257664781.4960003,5745978928.464,0.010629306495575776,21022661215.109,14228538665.86,35251199880.969,0.0652100908368257,4048548471.283,27130526576.028,31179075047.311,0.05767719461773585,4537618027.940999,19630725996.011,24168344023.952,0.04470826282507355,2151197619.234999,16875428537.978998,19026626157.213997,0.03519675994632109,17888814092.522,17237319343.23,35126133435.752,0.06497873433603202,5226391764.026001,14525128542.418,19751520306.444,0.03653771893432683,15819974461.058,10876447632.726,26696422093.784,0.049384875284592476,12645222889.955,4961416007.0,17606638896.955,0.03256996997771595,1761567435.808,8047079057.786,9808646493.594,0.018144708009751705,4852538603.917,573239888.99,5425778492.907,0.010036977736294713,20682161834.676,279102380.78999996,20961264215.466,0.038775586310841575,4944464814.167,175843241.11,5120308055.276999,0.00947189753893748,18221251623.997997,522597045.0,18743848668.997997,0.03467365872549911,11231931845.93,1285141.936,11233216987.866001,0.020779976359442426,13669538064.59,30086031.194,13699624095.784,0.025342505637623247,9160864644.4,158989484.00599998,9319854128.406,0.017240506318975665,14099914159.53,5427640868.0,19527555027.53,0.036123412577902296,1634260330.525,7364726886.0,8998987216.525,0.01664694466601225
2002,224,7324,0.14662075592568866,True,1,547595790851.1231,74767311.6945826,27181051280.0,197811.5,578316205.748011,10439949290.738,117530499938.45999,127970449229.198,0.23369509292665436,6592374343.422999,18328105776.0,24920480119.423,0.04550889640822353,54706182236.387985,741548892.4449999,55447731128.832985,0.1012566788408857,54267076932.727,121762917.761,54388839850.488,0.0993229691666401,21357276778.356003,613169654.96,21970446433.316,0.04012164958238181,30155199416.71599,858155931.554,31013355348.26999,0.056635488925264044,10098417591.487999,17894521.64,10116312113.127998,0.018474050170116003,14113145783.375004,5143060345.0,19256206128.375004,0.035165000261315485,5614505535.82,27401413755.963997,33015919291.783997,0.06029250013128782,1049845284.4430001,64836157690.0,65886002974.443,0.12031868044865172,5512796168.416999,31613191630.0,37125987798.417,0.06779816137869216,1834678643.5749998,4894158927.934999,6728837571.509999,0.012287964377979292,20751994487.756,14381287866.373,35133282354.129,0.06415915341409338,3568162683.0209994,26884029852.934,30452192535.954998,0.05561071331213747,4179931806.428,19724676008.795998,23904607815.224,0.04365374645789239,1784317722.6919997,17431568155.236,19215885877.928,0.035091368850846946,17414187215.088997,17216361717.6,34630548932.688995,0.06324107948102203,6259951974.154001,14784580920.292,21044532894.446,0.03843077913680942,28624932403.211,10271134958.42,38896067361.631,0.07103061785989113,14848120884.353,4145374266.0,18993495150.353,0.03468524679642184,2456044072.25,7168345089.0,9624389161.25,0.017575717932913435,4689491853.104,239281483.91,4928773337.014,0.009000750954190595,19299938195.708,63087428.819,19363025624.527,0.03536007023434425,4817061734.552,183855929.0,5000917663.552,0.009132498363033653,14770690258.376,585930812.2,15356621070.576,0.02804371641846871,8870289969.1,37603155.607999995,8907893124.708,0.016267278298218005,13181579904.364,49469548.0,13231049452.364,0.024162072962246664,8100817720.5,158183079.64,8259000800.14,0.015082294163187616,13895278702.872,6484300130.0,20379578832.872,0.03721646362766268,1781616277.8140001,7363877147.301001,9145493425.115002,0.01670117553478679
2003,223,7439,0.15026461439017494,True,1,656134112010.9141,88201923.9159719,20050456098.0,196000.0,619654981.0647357,12898038116.909996,121588018613.529,134486056730.439,0.20496732949650692,7948920994.283999,27780157232.294,35729078226.577995,0.054453925763859205,70140210921.43698,922522830.9810001,71062733752.41798,0.10830519622676764,54066691811.752,204968244.081,54271660055.833,0.08271427908160679,29300175250.076996,399175997.65200007,29699351247.728996,0.04526414753335516,36369086919.507996,1019904495.0389999,37388991414.547,0.056983764035613914,12338038188.617,20254354.307000007,12358292542.924,0.018835009972349118,15237472249.307999,6441667298.287,21679139547.594997,0.03304071401066615,7024731648.498,33267436430.012,40292168078.51,0.0614084336432729,1586424182.6299999,80071812017.565,81658236200.195,0.12445357542824524,7476720213.578002,37443834362.93,44920554576.508,0.0684624587477031,3363356113.197,5361705141.719,8725061254.916,0.013297679689561498,24978726958.492,17701184031.22,42679910989.712006,0.06504754166630201,4952867516.872,33432581528.814,38385449045.686,0.05850244384953956,5955542482.246998,23841628050.27999,29797170532.52699,0.04541323181811853,2687032045.785,21064702733.083,23751734778.868,0.03619951217910907,20415641668.875,20825450558.22,41241092227.095,0.0628546686906731,9120051853.202,19398934210.152,28518986063.354,0.0434651781416291,21457164775.82,13961000967.0,35418165742.82,0.053980070681389686,19231329531.802,5279669944.52,24510999476.322,0.03735669130385692,4218868594.2520003,7516596368.61,11735464962.862,0.01788577174702173,5497261170.296,253408476.0,5750669646.296,0.008764472904283848,20112800752.483,53497065.64,20166297818.123,0.03073502421070215,5068962145.849,225672851.14,5294634996.989,0.008069440225813058,21720900445.974,1551697705.237,23272598151.211,0.03546927026836837,8307278134.02,179209936.563,8486488070.583,0.012934075389821886,16589516651.625998,52012679.094,16641529330.719997,0.025362999768015693,9591711485.59,2690567908.158,12282279393.748001,0.01871915995360366,16625987495.138,7576250837.740999,24202238332.878998,0.03688611503325774,2211087407.328,8876873915.0,11087961322.328,0.01689892526444893
2004,224,7842,0.15699071108263934,True,1,809884525391.6869,103275251.89896531,18083509575.0,186268.77500000002,643917723.7872823,18523302543.059,95160003856.187,113683306399.246,0.1403697722761958,8668417700.771002,45957343484.345,54625761185.116005,0.06744882692837868,98379938577.832,1210263288.7159998,99590201866.548,0.12296839702966654,74875274547.40999,295412255.51100004,75170686802.92099,0.09281654908342145,37469844473.770996,505517490.16300005,37975361963.934,0.046889847593479896,48349519882.991,1290328477.808,49639848360.798996,0.061292501343684185,15877629883.082,18510747.960999995,15896140631.043001,0.019627663120683907,19892513629.290005,9427477552.078,29319991181.368004,0.03620268107627799,11701481983.139004,44406036888.785,56107518871.92401,0.0692784182347336,1564234646.6669998,97159055138.681,98723289785.34799,0.12189798260141117,9182662341.008,48714767789.415,57897430130.423004,0.07148850029258418,4642806857.257999,4627121335.5929985,9269928192.850998,0.011445987547876353,28503836820.366,28594326450.933002,57098163271.299,0.07050161039153631,6592901209.141998,44852231311.468994,51445132520.61099,0.06352156499808467,7846199581.199999,30400014116.672012,38246213697.87201,0.04722428012731183,3361349008.519,28052144687.07899,31413493695.597992,0.038787620593695615,26919491543.60001,28026491948.253002,54945983491.85301,0.06784421947718944,12466738402.014997,25667313584.988,38134051987.003,0.04708578913587726,8811961268.845,18585136172.097,27397097440.942,0.0338283997063555,6000727139.835,7033527081.64,13034254221.475,0.016093966254227668,4683909143.1119995,11437315018.91,16121224162.022,0.019905583643822857,6045808061.273,444716095.7,6490524156.973,0.008014135291489819,10260172321.615,56402178.313,10316574499.928,0.012738327720163024,6579012267.203,374205515.11899996,6953217782.3220005,0.00858544343585179,27919749885.642002,2766512147.459,30686262033.101,0.03788967571427558,16070813897.8,1911830637.562,17982644535.362,0.022203961147010433,22446906189.529003,136423351.0,22583329540.529003,0.02788462902116442,10892463839.216,205903502.853,11098367342.069,0.013703641684845705,20403481318.746002,11626840688.918,32030322007.664,0.039549245606554935,3197147231.1959996,13000765464.26,16197912695.456,0.020000274344817433
2005,223,7965,0.16088958914071022,True,1,1070958245714.3386,134458034.61573613,20548825678.0,284471.0,767487127.7570326,26867489131.166,137276421264.16399,164143910395.33,0.15326826330735663,11378486871.011002,61949738930.44,73328225801.451,0.06846973361929758,137042840362.93602,1125738121.4299998,138168578484.36603,0.1290139732685903,86784697952.16899,348874309.626,87133572261.795,0.08136038226558136,33544447826.094,693426177.941,34237874004.035004,0.031969382691664175,44419280565.820015,1902034084.47,46321314650.290016,0.04325221345991252,22229241709.461998,11876040.519,22241117749.981,0.02076749288684544,28379306168.496002,12922752973.574,41302059142.07,0.038565517663595894,19271520506.943,63274148426.119995,82545668933.06299,0.07707645864195602,2916380993.1919994,85594262077.864,88510643071.056,0.0826462127961101,12493769083.511002,65923232567.728004,78417001651.23901,0.07322134356315094,7282607039.592001,7409844967.359,14692452006.951,0.013718977435157619,37775565309.898,27240317124.967003,65015882434.865005,0.060708139364946796,9466020145.396997,62183876165.659,71649896311.056,0.06690260483802979,10506506128.181,42154497777.83001,52661003906.01101,0.0491718553143831,4545325009.127001,39582743225.023,44128068234.15,0.041204284490770404,40563204943.68499,40913024378.28,81476229321.965,0.07607787665673149,20525972992.559,37221109505.247,57747082497.806,0.053920946711875015,12162981312.722,27702819616.0,39865800928.722,0.037224421295837876,8682575855.266,11421509870.69,20104085725.956,0.01877205372516311,7338942458.414,13815821068.846,21154763527.260002,0.019753116997712258,6944684005.937,1035846028.8269999,7980530034.764,0.0074517658057162775,15575159967.69,55531419.0,15630691386.69,0.014595052093991014,8763743659.747,733572259.19,9497315918.937,0.008868054340066458,37205922316.545,4133116589.49,41339038906.034996,0.038600047267446445,17214049880.654,557166531.465,17771216412.119,0.016593752822049043,32193745198.836002,181393199.087,32375138397.923004,0.030230065950263542,14690588312.454,362430230.71,15053018543.164,0.014055653993422968,26029990208.04,17289105981.257,43319096189.297,0.04044891232935303,4214777785.064,20463345608.296,24678123393.36,0.02304303038154347
2006,225,8381,0.16628968253968254,True,1,1321128667381.0237,157633774.89333302,25010249998.0,293047.0,874678183.7159823,30339115141.621998,157280342333.092,187619457474.71402,0.14201452296591724,11237629473.282,85960533964.429,97198163437.711,0.0735720644306315,153872600300.41202,1399075117.9020002,155271675418.31403,0.11752956335897333,92325339793.892,626332054.9949999,92951671848.887,0.07035777373081484,45859458885.616005,1056964855.704,46916423741.32001,0.035512380360594314,48670458729.83399,2124517873.3769999,50794976603.21099,0.03844816773517286,30162738745.708,75056324.992,30237795070.7,0.022887850227822804,31889512874.690998,16914007381.168,48803520255.85899,0.036940777579678154,25115913495.112007,58650320556.185,83766234051.297,0.06340505366320855,4798334685.167999,101558511943.139,106356846628.307,0.08050453317249294,18869245632.89,67572488894.256004,86441734527.146,0.06543021634562377,12809043884.923,47751117992.439995,60560161877.36299,0.045839715216698856,41383021334.148994,36684359137.461,78067380471.60999,0.05909142871478903,12058103622.746,75837470988.45901,87895574611.20502,0.0665306694051589,12940768855.636,50003613358.119,62944382213.755005,0.04764439964695835,5287958226.139998,50727909079.514,56015867305.654,0.04240000893834105,49707046582.273994,53689212877.86001,103396259460.134,0.07826358023484908,27341269873.900005,45284679668.446,72625949542.34601,0.05497265431861235,13529605531.300001,30093325242.758,43622930774.058,0.033019441520813514,9286552068.43,13469583683.0,22756135751.43,0.017224768724867095,11088225271.166,17335201984.75,28423427255.916,0.021514503437626536,7142063736.485,912693313.94,8054757050.424999,0.006096875534759663,20153381990.236,40316374.926,20193698365.162,0.015285186722345176,9406652728.865,929747904.0,10336400632.865,0.00782391669189622,52482914562.24799,2244064121.462,54726978683.70999,0.041424412349025434,27686450811.261,118621718.562,27805072529.823,0.02104645309449167,44396351622.74601,244258644.19,44640610266.93601,0.03378975217866597,19338373427.350998,344844531.94299996,19683217959.294,0.014898789531464469,29508084942.81,18667152110.332,48175237053.142,0.036465212089177905,6017317772.471,24896828929.864998,30914146702.336,0.02339980008428666
2007,225,8744,0.1734920634920635,True,1,1493187792204.4895,170767130.85595748,25914318394.0,341233.5,951203997.395884,38459646653.19701,168899781022.07098,207359427675.268,0.13887029398300257,11486388375.33,101015675754.985,112502064130.315,0.07534354668425258,179832006212.751,1878708671.01,181710714883.76102,0.12169314257216754,96291954640.872,552601718.4679999,96844556359.34,0.06485758647702453,52486906620.76,1118995514.769,53605902135.529,0.03590030833053299,48887060636.82199,2711707076.2410007,51598767713.06299,0.03455611409525683,36199980347.034,88386833.42,36288367180.453995,0.02430261442660145,35276746855.34,19187638706.0,54464385561.34,0.036475241657936884,24097180386.604996,60856698680.27,84953879066.875,0.056894303255354176,7218598343.599998,114196505327.882,121415103671.482,0.08131268170377219,21324130742.43,75913711654.65,97237842397.07999,0.06512097333284615,16952590522.310001,71153261560.331,88105852082.64099,0.059005205200991256,49842127808.898994,37658456842.914,87500584651.81299,0.058599852683385675,13671766235.453,79231424416.775,92903190652.228,0.062218021830374746,15330771560.508,56660139988.02702,71990911548.53502,0.048212898554608585,6333501287.7769985,56923190775.325,63256692063.102,0.04236352077973532,52649777584.49401,53544345709.82,106194123294.31401,0.07111906743995862,28355817002.687,45906440331.861,74262257334.548,0.049734037287372836,16177457198.937,33829743341.59,50007200540.527,0.033490228624691705,11498761080.629002,18140099117.3,29638860197.929,0.019849385557975423,12225041266.116999,22420768684.440002,34645809950.557,0.023202580500210998,6938183237.7890005,1423153002.212,8361336240.001,0.005599654834879557,20882000993.342003,52637312.471,20934638305.813004,0.014020097415145516,12228917348.449,955504204.0,13184421552.449,0.008829714267208136,60181980623.136,3199046852.85,63381027475.986,0.042446789216252896,34028410010.0,115113544.70300001,34143523554.703,0.022866195218683587,50007158051.312,225481917.36699998,50232639968.67899,0.033641207241935256,19189155941.961998,487529986.47999996,19676685928.441998,0.01317763648428443,31648574784.426003,21776861830.611,53425436615.037,0.035779449104765035,5895389394.214001,25090153010.283,30985542404.497,0.020751269576582222
2008,227,8937,0.17420373474718334,True,1,1965639302607.7173,219943974.77987233,19951410327.0,472450.0,1121501856.9441092,72873155347.77797,181448687459.646,254321842807.42395,0.12938377985728491,15597564477.673998,114707179625.807,130304744103.481,0.0662912793464254,244639267272.851,3338306298.2619996,247977573571.113,0.12615619419195237,98189820429.22198,870228685.956,99060049115.17798,0.050395842708150916,60555592556.81901,1480276306.834,62035868863.65301,0.03156014879299222,66557448972.43399,3507163289.9989996,70064612262.43298,0.03564469441035377,44020901756.819,128050515.12,44148952271.939,0.022460352829417256,41340002180.44199,27955499540.868,69295501721.31,0.03525341685495353,29152444856.634,91451901339.715,120604346196.349,0.061356295652182535,15166164609.194002,127132144339.697,142298308948.89102,0.07239288956021118,32719269831.931,95639384281.36699,128358654113.29799,0.06530122487020425,24583004858.447998,94809720728.64699,119392725587.09499,0.06073989537587212,58393837806.48601,55266869924.223,113660707730.70901,0.05782378668350848,19615986349.616,114029926639.00499,133645912988.62099,0.06799106672893623,18836279080.903,55643234562.43699,74479513643.34,0.037890732823937574,9444737552.376997,79533760093.48598,88978497645.86298,0.04526695082247265,62850632604.961,72389933162.662,135240565767.623,0.06880233092012658,39003151229.53802,47701567652.770996,86704718882.30902,0.04411018784946054,23579282133.593998,47808763592.5,71388045726.094,0.03631797839582622,13744310908.335,27869782025.32,41614092933.655,0.021170767636996077,21543942698.212,33987422436.22,55531365134.43201,0.02825104537783777,7707707364.341,1983698757.818,9691406122.159,0.004930409210531091,34020940031.878998,307510197.74,34328450229.619,0.017464267317038852,20381565951.114998,1789554868.134,22171120819.248997,0.011279343463389066,64402243424.918,2566269223.904,66968512648.822,0.03406958365147571,34887591180.869995,142792057.02600002,35030383237.895996,0.017821368951782202,73865084032.41899,358608567.12,74223692599.53899,0.03776058634006252,28688507533.347004,556786060.1600001,29245293593.507004,0.014878260500137897,45274386630.538994,30205415819.623,75479802450.16199,0.038399620087992054,9980388938.868,36163443401.990005,46143832340.858,0.023475228786706312
2009,227,9103,0.17743947604381896,True,1,1417980639563.0212,155770695.3271471,23891801740.0,378646.0,911326965.132301,48673252204.381,147854434263.75803,196527686468.13904,0.13859687571524457,12280471185.367994,100508865725.26399,112789336910.63199,0.07954222629258906,189814106324.607,1896534533.238,191710640857.845,0.13519975908622026,63216595658.16,226129718.475,63442725376.635,0.044741601970098924,44637113241.83801,1386291709.706,46023404951.544014,0.03245700517161294,41836651400.118,2671657987.530999,44508309387.648994,0.031388516983818,41883618338.319,158719264.01,42042337602.329,0.029649444025755655,49395442926.228004,18097486384.129,67492929310.35701,0.0475979201882166,18372013457.012997,66760050375.38398,85132063832.39697,0.06003753609684833,8308412173.490001,107694840675.793,116003252849.283,0.0818087705943797,20929440470.098995,73517212087.41101,94446652557.51001,0.06660644717026293,15774442154.104,80927465341.29001,96701907495.39401,0.06819691665550145,35920451000.689,33623971685.010002,69544422685.699,0.04904469126400096,11317477497.946003,69181941450.76,80499418948.706,0.056770464068898345,10231629198.401,68139778037.39403,78371407235.79503,0.05526973010008566,5747217669.174,46162551114.19699,51909768783.37099,0.036608235214951886,54438307722.465,48115321080.618004,102553628803.08301,0.07232371581228848,25200809261.671,42064994354.443,67265803616.114,0.0474377447331321,29851582594.190998,29498296095.35,59349878689.541,0.041855210877795083,6958082441.611,15132506173.957,22090588615.568,0.015578907073354438,15776912491.469,19098627683.555,34875540175.024,0.024595216043127067,5944030409.316,1255223515.576,7199253924.892,0.0050771172215091686,21127147536.644997,149974721.085,21277122257.729996,0.015005227620235324,14702639684.883001,1214718545.85,15917358230.733002,0.011225370633860171,51334272254.838005,1223452563.023,52557724817.86101,0.03706519211295981,35933536755.171,273656877.398,36207193632.569,0.02553433567592782,44917527908.828995,265950184.698,45183478093.52699,0.03186466502635126,18870701234.594,845129628.3610001,19715830862.955,0.013904160827633603,33141885541.641003,18366510526.703,51508396068.344,0.036325175838943284,6109608397.996,24121348850.237,30230957248.233,0.0213197249699751
2010,228,9343,0.18052013293144756,True,1,1769337615864.323,189375748.24620828,25744785546.0,355852.0,1050747353.4679372,69542519463.184,170181261524.35898,239723780987.54297,0.1354878677975982,15483288814.934,132208107826.972,147691396641.906,0.08347270487987599,236004172782.826,3067068522.6800003,239071241305.50598,0.13511906329347972,63895048651.37701,222235898.808,64117284550.185005,0.03623801584010503,63802228969.247,1867173362.949,65669402332.196,0.03711524682648904,43209251854.28301,3505742462.787,46714994317.070015,0.02640253273214321,60674341566.961006,114078805.0,60788420371.961006,0.03435659753509836,59494276933.357,24136045600.825,83630322534.182,0.04726645824083072,18738809078.902996,65118766080.01399,83857575158.91699,0.04739489761989404,11470886194.109999,142328850613.814,153799736807.92398,0.08692503648196767,28827262903.221996,97808132472.297,126635395375.519,0.07157220546269656,31600988650.218,92083642186.851,123684630837.069,0.06990448274432291,47106628704.15499,40397833188.303,87504461892.458,0.04945605694914929,11793358874.300999,79730809612.67499,91524168486.97598,0.051727927822450295,16350340519.428001,85358620633.561,101708961152.98901,0.05748420213363525,7408642596.931001,56823078169.66299,64231720766.59399,0.036302693273842335,57061995867.548004,69730658755.836,126792654623.384,0.0716610857569123,30175923812.208015,28918075968.862007,59093999781.07002,0.03339893938342714,21051311474.593,37758977213.151,58810288687.744,0.03323859062308757,10047160371.628,22996971677.619,33044132049.247,0.01867599024231727,22713225622.645,29310412054.681,52023637677.326004,0.029402889087344935,5546675498.238001,2351558316.0,7898233814.238001,0.004463949527450535,27138829865.53,211355782.181,27350185647.711,0.015457867058543493,21522470179.692,2084605684.376,23607075864.068,0.01334232407224097,63878306083.069,1043319993.1580001,64921626076.227,0.03669261620513998,47841420797.73399,552606315.17,48394027112.90399,0.02735149395965533,56921556040.62499,265472160.43,57187028201.05499,0.032321150971019785,24461481986.035,1364602450.0,25826084436.035,0.01459647056868733,44417649421.38701,27058260926.358,71475910347.74501,0.04039698795010864,6699210686.284001,30480148906.576,37179359592.86,0.021013151622110204
