year,记录数,总贸易额(美元),平均贸易额(美元),报告国数,伙伴国数,总贸易额(十亿美元)
2001,15734,896254349455.25,56962905.14,164,225,896.25434945525
2002,16288,935225453510.96,57418065.66,166,224,935.2254535109599
2003,16466,1106950632430.01,67226444.34,169,223,1106.95063243001
2004,17385,1368088868770.25,78693636.4,171,224,1368.08886877025
2005,17774,1784180696203.37,100381495.23,170,223,1784.1806962033702
2006,18918,2239965493013.12,118403927.11,173,225,2239.96549301312
2007,19722,2522877879502.71,127922009.91,175,225,2522.87787950271
2008,20139,3396978960667.66,168676645.35,172,227,3396.97896066766
2009,20391,2375219633522.24,116483724.86,175,226,2375.21963352224
2010,21149,3055678058413.75,144483335.31,175,228,3055.67805841375
2011,21735,3859054242808.26,177550229.71,174,229,3859.05424280826
2012,21879,3937224913175.02,179954518.63,170,232,3937.22491317502
2013,22350,3867607357702.83,173047309.07,172,233,3867.60735770283
2014,22351,3744422577769.82,167528190.14,168,230,3744.42257776982
2015,23218,2580833004058.06,111156559.74,172,231,2580.83300405806
2016,23161,2215047296218.71,95636945.56,173,229,2215.04729621871
2017,23931,2756946449502.73,115203980.17,175,230,2756.94644950273
2018,24031,3322985667032.88,138279125.59,173,230,3322.98566703288
2019,24012,2982827220875.71,124222356.36,167,230,2982.82722087571
2020,23137,2117347348109.68,91513478.33,163,229,2117.34734810968
2021,23911,3112782235443.58,130182018.13,164,230,3112.7822354435802
2022,23920,4266578595962.61,178368670.4,158,231,4266.57859596261
2023,23754,3736852610413.04,157314667.44,153,231,3736.85261041304
2024,18078,2919152090618.85,161475389.46,93,230,2919.1520906188503
