source,target,weight,data_source
ABW,BEL,2.08,import_reported
ABW,CUW,9281.56,export_mirrored
ABW,GRD,46092.60,import_reported
ABW,GUY,8417369.81,import_reported
ABW,JOR,99957.75,import_reported
ABW,KOR,17866.00,import_reported
ABW,NLD,209.77,import_reported
ABW,THA,959.50,import_reported
ABW,USA,134.08,export_mirrored
BEL,AFG,5456.72,export_mirrored
BEL,AGO,138827315.60,import_reported
BEL,ALB,2826274.97,import_reported
BEL,AND,56.34,import_reported
BEL,ARE,39733790.37,import_reported
BEL,ARG,67826431.52,import_reported
BEL,ARM,1498917.44,import_reported
BEL,ATG,11.99,export_mirrored
BEL,AUS,10499652.09,import_reported
BEL,AUT,106688147.57,import_reported
BEL,AZE,23332850.75,import_reported
BEL,BDI,97561.98,export_mirrored
BEL,BEN,17322488.85,import_reported
BEL,BFA,153409654.10,import_reported
BEL,BGD,785896.01,export_mirrored
BEL,BGR,26139888.89,import_reported
BEL,BHR,1734224.53,import_reported
BEL,BHS,128691.00,import_reported
BEL,BIH,7939842.31,import_reported
BEL,BLM,0.25,export_mirrored
BEL,BLR,3405909.89,export_mirrored
BEL,BMU,1215.78,export_mirrored
BEL,BOL,133778819.00,import_reported
BEL,BRA,312317487.00,import_reported
BEL,BRB,1240.50,export_mirrored
BEL,BRN,247238.51,import_reported
BEL,BWA,3274.24,import_reported
BEL,CAN,438080883.29,import_reported
BEL,CHE,430583705.08,import_reported
BEL,CHL,5060691.44,import_reported
BEL,CHN,11154885.00,import_reported
BEL,CIV,486936615.03,import_reported
BEL,CMR,233000968.93,import_reported
BEL,COD,1064616875.92,import_reported
BEL,COG,251163.21,export_mirrored
BEL,COL,225654971.39,import_reported
BEL,COM,1001.19,export_mirrored
BEL,CPV,24325570.36,import_reported
BEL,CRI,66368291.40,import_reported
BEL,CUB,5651776.54,export_mirrored
BEL,CYP,22380503.37,import_reported
BEL,CZE,79583461.00,import_reported
BEL,DEU,6179864810.17,import_reported
BEL,DJI,3281.55,export_mirrored
BEL,DNK,211647355.31,import_reported
BEL,DOM,36950911.51,import_reported
BEL,DZA,16853134.29,export_mirrored
BEL,ECU,1748482.90,import_reported
BEL,EGY,148250000.00,import_reported
BEL,ESH,5174.75,export_mirrored
BEL,ESP,538384078.06,import_reported
BEL,EST,8369524.26,import_reported
BEL,ETH,235076.48,import_reported
BEL,FIN,156029482.78,import_reported
BEL,FRA,4739596405.90,import_reported
BEL,FRO,1518348.83,export_mirrored
BEL,GAB,24914916.49,import_reported
BEL,GBR,2034626138.61,import_reported
BEL,GEO,4846232.84,import_reported
BEL,GHA,323776639.30,import_reported
BEL,GIB,40066129.28,export_mirrored
BEL,GIN,253262130.23,export_mirrored
BEL,GMB,64432081.80,import_reported
BEL,GNB,69253.48,export_mirrored
BEL,GNQ,903991.47,export_mirrored
BEL,GRC,43149329.37,import_reported
BEL,GRL,154881.70,export_mirrored
BEL,GTM,2202779.00,import_reported
BEL,GUY,2886115.82,import_reported
BEL,HKG,1231017.16,import_reported
BEL,HND,496353.53,import_reported
BEL,HRV,22340948.00,import_reported
BEL,HTI,40200.31,export_mirrored
BEL,HUN,36848468.00,import_reported
BEL,IDN,8228246.00,import_reported
BEL,IND,72908254.37,import_reported
BEL,IRL,309642830.96,import_reported
BEL,IRN,3096.62,export_mirrored
BEL,IRQ,1081445.99,export_mirrored
BEL,ISL,10156587.96,import_reported
BEL,ISR,20718000.00,import_reported
BEL,ITA,356516977.12,import_reported
BEL,JAM,979593.65,import_reported
BEL,JOR,1248464.46,import_reported
BEL,JPN,3297799.22,import_reported
BEL,KAZ,41118112.99,import_reported
BEL,KEN,2536524.31,import_reported
BEL,KGZ,8846535.00,import_reported
BEL,KHM,761.32,import_reported
BEL,KOR,105194062.00,import_reported
BEL,KWT,20317392.68,import_reported
BEL,LAO,8878.73,import_reported
BEL,LBN,4097120.00,import_reported
BEL,LBR,122794.92,import_reported
BEL,LBY,249626451.70,export_mirrored
BEL,LCA,20973.89,export_mirrored
BEL,LKA,94005.56,import_reported
BEL,LTU,66783442.00,import_reported
BEL,LUX,1368876444.67,import_reported
BEL,LVA,4041273.90,import_reported
BEL,MAC,23374.41,import_reported
BEL,MAR,16412351.22,import_reported
BEL,MDA,1881430.00,import_reported
BEL,MDG,1674584.58,import_reported
BEL,MDV,81164.78,import_reported
BEL,MEX,4712617.00,import_reported
BEL,MKD,3086850.36,import_reported
BEL,MLI,507567.93,export_mirrored
BEL,MLT,838176.73,import_reported
BEL,MMR,54385.09,import_reported
BEL,MNE,3393170.98,import_reported
BEL,MNG,5269542.10,export_mirrored
BEL,MOZ,968000.00,import_reported
BEL,MRT,346816623.20,import_reported
BEL,MSR,33.92,import_reported
BEL,MUS,289883.29,import_reported
BEL,MWI,35507.18,import_reported
BEL,MYS,8512560.00,import_reported
BEL,NCL,833806.34,export_mirrored
BEL,NER,1105355.68,import_reported
BEL,NGA,5778422270.01,import_reported
BEL,NIC,141352.78,import_reported
BEL,NLD,9256097224.40,import_reported
BEL,NOR,503241331.93,import_reported
BEL,NPL,38301.96,export_mirrored
BEL,NZL,6471508.30,import_reported
BEL,OMN,18790244.44,import_reported
BEL,PAK,52348912.85,import_reported
BEL,PAN,340791.00,import_reported
BEL,PER,6810042.10,import_reported
BEL,PHL,860641.00,import_reported
BEL,POL,562678981.00,import_reported
BEL,PRT,91893477.78,import_reported
BEL,PRY,91380226.81,import_reported
BEL,PSE,3152145.31,import_reported
BEL,PYF,465145.36,export_mirrored
BEL,QAT,10869367.71,import_reported
BEL,ROU,64536945.31,import_reported
BEL,RUS,417377.16,export_mirrored
BEL,RWA,207415.71,export_mirrored
BEL,SAU,198251261.97,import_reported
BEL,SDN,6432.59,export_mirrored
BEL,SEN,484376605.19,import_reported
BEL,SGP,182090566.47,import_reported
BEL,SGS,145.11,export_mirrored
BEL,SLE,13716664.05,export_mirrored
BEL,SLV,2208644.78,import_reported
BEL,SRB,33873858.00,import_reported
BEL,SSD,877.02,export_mirrored
BEL,SUR,3688.13,import_reported
BEL,SVK,10066077.79,import_reported
BEL,SVN,93914634.87,import_reported
BEL,SWE,363704822.69,import_reported
BEL,SWZ,570112.19,import_reported
BEL,SXM,93.42,export_mirrored
BEL,SYC,13113.05,import_reported
BEL,SYR,63511.42,export_mirrored
BEL,TCD,510202.24,export_mirrored
BEL,TGO,12864772.83,import_reported
BEL,THA,3345329.37,import_reported
BEL,TJK,36068.00,import_reported
BEL,TKM,186577.93,export_mirrored
BEL,TLS,148.37,import_reported
BEL,TTO,38163038.94,import_reported
BEL,TUN,22746184.09,import_reported
BEL,TUR,78665256.00,import_reported
BEL,TZA,577480.71,import_reported
BEL,UGA,726268.69,import_reported
BEL,UKR,33806302.44,import_reported
BEL,URY,611963.33,import_reported
BEL,USA,1523999505.00,import_reported
BEL,UZB,1519770.97,import_reported
BEL,VEN,1660447.93,export_mirrored
BEL,VNM,4750377.20,import_reported
BEL,WLF,23470.17,export_mirrored
BEL,YEM,170959.32,export_mirrored
BEL,ZAF,171994490.83,import_reported
BEL,ZMB,686737.77,import_reported
BEL,ZWE,33161.04,import_reported
CUW,ARE,344.12,import_reported
CUW,ARM,1926154.64,import_reported
CUW,BEL,4.01,import_reported
CUW,BRB,321.00,import_reported
CUW,DEU,1368.33,import_reported
CUW,DMA,9049.99,import_reported
CUW,DOM,16114931.05,import_reported
CUW,GUY,16352108.74,import_reported
CUW,JAM,143143.51,import_reported
CUW,MSR,1512.73,import_reported
CUW,NLD,868.26,import_reported
CUW,USA,30412248.00,import_reported
CUW,VCT,51.47,import_reported
GRD,ATG,7.41,export_mirrored
GRD,AUS,2440.07,import_reported
GRD,BEL,123.84,import_reported
GRD,BRB,3707.50,import_reported
GRD,NLD,1.08,import_reported
GRD,NZL,2071.93,import_reported
