country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
ABW,Aruba,Other,19,18,4058487045.57,2285184708.44,6343671754.01
ARG,Argentina,Latin_America,52,52,7142063736.48,912693313.94,8054757050.42
ATG,Antigua and Barbuda,Other,10,33,3130177.00,106726089.75,109856266.75
BRA,Brazil,Latin_America,94,74,11088225271.17,17335201984.75,28423427255.92
CAN,Canada,North_America,154,100,13529605531.30,30093325242.76,43622930774.06
COL,Colombia,Latin_America,62,44,9406652728.86,929747904.00,10336400632.86
CRI,Costa Rica,Other,29,46,33737072.79,1198789147.24,1232526220.03
DNK,Denmark,Europe,104,64,8395244613.22,4643671474.98,13038916088.21
ECU,Ecuador,Latin_America,32,43,7809535698.28,1837468627.87,9647004326.15
ESP,Spain,Europe,145,99,5287958226.14,50727909079.51,56015867305.65
FRA,France,Europe,172,112,12058103622.75,75837470988.46,87895574611.21
HND,Honduras,Other,13,43,4137236.00,953498121.31,957635357.31
ITA,Italy,Europe,161,90,12940768855.64,50003613358.12,62944382213.76
MEX,Mexico,North_America,90,70,9286552068.43,13469583683.00,22756135751.43
NIC,Nicaragua,Other,10,39,137836851.67,568289301.00,706126152.67
PER,Peru,Latin_America,35,43,1947252884.95,2871027936.56,4818280821.51
SDN,Sudan (...2011),Other,15,55,5366884689.17,218655879.02,5585540568.19
SLV,El Salvador,Other,20,45,64753776.88,1000513268.65,1065267045.53
SWE,Sweden,Europe,132,65,5897888296.51,14509599522.91,20407487819.42
USA,USA,North_America,182,130,30339115141.62,157280342333.09,187619457474.71
AFG,Afghanistan,Other,5,23,155973.46,469458409.25,469614382.72
ARE,United Arab Emirates,Middle_East,128,78,45859458885.62,1056964855.70,46916423741.32
GRL,Greenland,Other,3,21,556.78,143565952.00,143566508.78
IND,India,Asia_Pacific,126,94,12809043884.92,47751117992.44,60560161877.36
PAK,Pakistan,Other,31,53,663121165.79,7537785877.38,8200907043.17
AGO,Angola,Africa,29,60,29601405527.23,673008161.00,30274413688.22
CHE,Switzerland,Other,150,74,1441334423.77,9662285066.18,11103619489.95
CHL,Chile,Latin_America,29,53,1051188177.39,8334247786.29,9385435963.68
CHN,China,Asia_Pacific,176,91,11237629473.28,85960533964.43,97198163437.71
COD,Dem. Rep. of the Congo,Other,9,28,136384435.69,305161987.80,441546423.49
DEU,Germany,Europe,180,105,25115913495.11,58650320556.18,83766234051.30
GRC,Greece,Other,115,73,2519637857.58,11258780667.67,13778418525.25
ISR,Israel,Other,58,55,1071039421.68,2511396089.06,3582435510.75
JPN,Japan,Asia_Pacific,152,81,4798334685.17,101558511943.14,106356846628.31
KOR,Rep. of Korea,Asia_Pacific,139,82,18869245632.89,67572488894.26,86441734527.15
NLD,Netherlands,Europe,163,102,49707046582.27,53689212877.86,103396259460.13
PRT,Portugal,Other,61,67,1366873743.54,9500259955.83,10867133699.37
SGP,Singapore,Asia_Pacific,116,86,34506593358.21,42457542418.74,76964135776.95
STP,Sao Tome and Principe,Other,1,11,174.84,28339492.00,28339666.84
SYR,Syria,Other,51,47,4214291015.30,2441632504.32,6655923519.61
THA,Thailand,Asia_Pacific,95,70,6017317772.47,24896828929.86,30914146702.34
TTO,Trinidad and Tobago,Other,54,48,9519715220.94,2352726955.00,11872442175.94
TUR,T_kiye,Other,104,79,3171898300.98,7965545524.93,11137443825.90
VEN,Venezuela,Latin_America,61,37,20153381990.24,40316374.93,20193698365.16
ZAF,South Africa,Africa,135,94,5667537075.12,12170703004.60,17838240079.71
ALB,Albania,Other,15,43,33273136.44,278683720.00,311956856.44
GEO,Georgia,Other,34,40,629048176.76,692910123.03,1321958299.79
HKG,"China, Hong Kong SAR",Other,80,45,124655241.07,8790447471.66,8915102712.74
KNA,Saint Kitts and Nevis,Other,4,22,66324.00,35686254.27,35752578.27
MKD,North Macedonia,Other,27,39,14655047.53,665989187.56,680644235.09
MNE,Montenegro,Other,4,29,365371.00,173581952.00,173947323.00
PAN,Panama,Other,34,66,467813514.45,497001106.51,964814620.96
SLE,Sierra Leone,Other,8,33,8121908.54,70333968.59,78455877.14
SRB,Serbia,Other,50,53,109306492.87,2274797712.00,2384104204.87
AND,Andorra,Other,10,14,246752.97,83637929.03,83884682.00
BFA,Burkina Faso,Other,26,45,46004096.97,489912130.28,535916227.25
BWA,Botswana,Other,7,11,16240727.61,471766296.02,488007023.63
