year,global_density,global_nodes,global_edges,global_max_possible_edges,global_edge_coverage_ratio,global_total_weight,global_avg_edge_weight,global_weight_density,global_is_strongly_connected,global_num_strongly_connected_components,global_largest_scc_size,global_largest_scc_ratio,global_is_weakly_connected,global_num_weakly_connected_components,global_largest_wcc_size,global_largest_wcc_ratio,global_avg_path_length,global_median_path_length,global_max_path_length,global_min_path_length,global_avg_weighted_path_length,global_median_weighted_path_length,global_reachability_ratio,global_sampled_pairs,global_reachable_pairs,global_weighted_reachable_pairs,global_lwcc_node_ratio,global_lwcc_edge_ratio,global_global_efficiency,global_weighted_global_efficiency,global_efficiency_sample_size,global_efficiency_sample_pairs,global_global_clustering,global_avg_clustering,global_weighted_avg_clustering
2001,0.14293650793650794,225,7204,50400,0.14293650793650794,540578910849.5123,75038716.10903835,0.14293650793650794,False,18,208,0.9244444444444444,True,1,225,1.0,2.065161401098901,2.0,4,1,0.0006687912845056128,3.0484522110322585e-07,0.9244444444444444,50400,46592,46592,1.0,1.0,0.5006514550263261,31441236.085690275,225,50400,0.49700180986854636,0.6998845553791851,0.0003346431311331996
2002,0.14662075592568866,224,7324,49952,0.14662075592568866,547595790851.1231,74767311.69458263,0.14662075592568866,False,18,207,0.9241071428571429,True,1,224,1.0,2.05073954566126,2.0,4,1,0.0001305579042561974,2.125477359625521e-07,0.9244274503523382,49952,46177,46177,1.0,1.0,0.5041256272687406,31703256.972999256,224,49952,0.5016826818157802,0.7100924185632718,0.0003824336451345227
2003,0.15026461439017494,223,7439,49506,0.15026461439017494,656134112010.9141,88201923.91597179,0.1502646143901749,False,19,205,0.9192825112107623,True,1,223,1.0,2.0283787642497857,2.0,4,1,0.0001692009783111139,1.6482341591623926e-07,0.9196259039308367,49506,45527,45527,1.0,1.0,0.5060127391964782,40472103.415654235,223,49506,0.504812384126298,0.7128598515851856,0.0002467207443367802
2004,0.15699071108263934,224,7842,49952,0.15699071108263934,809884525391.6869,103275251.89896543,0.15699071108263934,False,15,210,0.9375,True,1,224,1.0,2.039846252402306,2.0,5,1,0.00025806041613537557,1.4563865272908682e-07,0.9375,49952,46830,46830,1.0,1.0,0.5163376841767027,51962027.019870475,224,49952,0.514356262059785,0.7043152995320205,0.00035401995467448645
2005,0.16088958914071022,223,7965,49506,0.16088958914071022,1070958245714.3386,134458034.6157362,0.1608895891407102,False,14,210,0.9417040358744395,True,1,223,1.0,2.0218137360044612,2.0,5,1,0.0009078826459199789,9.746207526317766e-08,0.9417444350179777,49506,46622,46622,1.0,1.0,0.5222188556268113,72726066.98197399,223,49506,0.5203395338505459,0.7234727507568958,0.0004888229825681829
2006,0.16628968253968254,225,8381,50400,0.16628968253968254,1321128667381.0237,157633774.893333,0.16628968253968254,False,18,208,0.9244444444444444,True,1,225,1.0,1.9867362050093362,2.0,4,1,0.001577331357734316,8.048292899310982e-08,0.9244642857142857,50400,46593,46593,1.0,1.0,0.5199603174602334,88022216.08926897,225,50400,0.5266290254564744,0.7219355599402046,0.0007101047610547015
2007,0.1734920634920635,225,8744,50400,0.1734920634920635,1493187792204.4895,170767130.85595718,0.17349206349206348,False,17,209,0.9288888888888889,True,1,225,1.0,1.9651622273960314,2.0,5,1,0.0017583646279496713,6.344567760305189e-08,0.9289087301587302,50400,46817,46817,1.0,1.0,0.5281934523808578,104748531.41981503,225,50400,0.5295621032360368,0.7382029903456155,0.00047013072729539554
2008,0.17420373474718334,227,8937,51302,0.17420373474718334,1965639302607.7173,219943974.77987215,0.17420373474718331,False,15,213,0.9383259911894273,True,1,227,1.0,1.9858985275487528,2.0,5,1,3.6798693957501756e-05,4.5645595374964833e-08,0.9385793926162723,51302,48151,48151,1.0,1.0,0.530333125414108,146322370.23064232,227,51302,0.5365855779851623,0.7219738885114598,0.0007491431458526803
2009,0.17743947604381896,227,9103,51302,0.17743947604381896,1417980639563.0212,155770695.32714725,0.17743947604381893,False,15,213,0.9383259911894273,True,1,227,1.0,1.962233578461922,2.0,4,1,0.00022280700464222052,6.900227376616222e-08,0.9383259911894273,51302,48138,48138,1.0,1.0,0.5346542694890768,100304903.00370167,227,51302,0.5402155817228302,0.7425792160912347,0.0005267572082209793
2010,0.18052013293144756,228,9343,51756,0.18052013293144756,1769337615864.323,189375748.2462082,0.18052013293144753,False,18,211,0.9254385964912281,True,1,228,1.0,1.9571124467818684,2.0,4,1,0.00027437135493648274,4.434510727104212e-08,0.9258057036865291,51756,47916,47916,1.0,1.0,0.53003194476637,135994280.24671197,228,51756,0.5493866139644742,0.7319999079439611,0.00046437054733187777
2011,0.18467019076074465,229,9642,52212,0.18467019076074465,2306501429364.4478,239214004.29002777,0.18467019076074465,False,12,218,0.9519650655021834,True,1,229,1.0,1.9400853050056333,2.0,4,1,0.0006477951580623725,3.452337608295319e-08,0.9519650655021834,52212,49704,49704,1.0,1.0,0.5473246890879822,203875635.54574963,229,52212,0.5485831656606305,0.735615641425362,0.0004940032868375638
2012,0.18054933572174953,232,9676,53592,0.18054933572174953,2311734920933.3096,238914315.92944497,0.18054933572174953,False,13,220,0.9482758620689655,True,1,232,1.0,1.9398661944116489,2.0,4,1,0.0004094242411305587,3.805644721850399e-08,0.9482758620689655,53592,50820,50820,1.0,1.0,0.5439913295515921,188976375.8620563,232,53592,0.5468485164558848,0.7352964206872827,0.0006804379603372923
2013,0.17999852005327807,233,9730,54056,0.17999852005327807,2303103000537.3315,236701233.35429925,0.17999852005327807,False,17,217,0.9313304721030042,True,1,233,1.0,1.947621221443741,2.0,5,1,0.001972373247180467,3.951498683524312e-08,0.9320519461299394,54056,50383,50383,1.0,1.0,0.5348697030239365,181905056.02239293,233,54056,0.5504640915417682,0.7393911807534722,0.0006096117424702467
2014,0.1863489652553636,230,9815,52670,0.1863489652553636,2193238722094.6619,223457842.2918657,0.1863489652553636,False,13,218,0.9478260869565217,True,1,230,1.0,1.9217492291057627,2.0,4,1,0.0002534154582646075,4.461356507855587e-08,0.948205809758876,52670,49942,49942,1.0,1.0,0.5487722296056479,184218131.06421828,230,52670,0.5529259565844766,0.7373684709064227,0.00047588708243456084
2015,0.18923395445134575,231,10054,53130,0.18923395445134575,1501860128532.3005,149379364.2860852,0.18923395445134578,False,14,218,0.9437229437229437,True,1,231,1.0,1.9116603547937014,2.0,4,1,0.002241687043487837,6.378013778382702e-08,0.9442875964615095,53130,50170,50170,1.0,1.0,0.5492345818431899,121715437.8281668,231,53130,0.5577963686335237,0.7431666615609034,0.0004636684440583787
2016,0.19298245614035087,229,10076,52212,0.19298245614035087,1285324881277.1023,127563009.25735433,0.1929824561403509,False,7,223,0.9737991266375546,True,1,229,1.0,1.9372455702177034,2.0,5,1,0.001488240450810968,7.998507892861801e-08,0.9738948900635869,52212,50849,50849,1.0,1.0,0.561835721034662,103712351.00706352,229,52212,0.5589641537228957,0.7418444541673861,0.0004201807197342642
2017,0.19515853426998292,230,10279,52670,0.19515853426998292,1626315102539.0652,158217249.00662178,0.1951585342699829,False,6,225,0.9782608695652174,True,1,230,1.0,1.929010848260203,2.0,4,1,0.0008598488083984803,6.869023001291822e-08,0.9783368141256883,52670,51529,51529,1.0,1.0,0.5660686032528495,132841207.95432444,230,52670,0.5579524991652918,0.7393615897585406,0.00037624126782546865
2018,0.1976836909056389,230,10412,52670,0.1976836909056389,1955403872424.4915,187802907.45529115,0.19768369090563886,False,7,224,0.9739130434782609,True,1,230,1.0,1.906493050817723,2.0,4,1,0.006535969336690117,6.499617966005975e-08,0.9740079741788494,52670,51301,51301,1.0,1.0,0.5683216252135216,168148304.79933408,230,52670,0.5570466664285774,0.7495516021934161,0.0004900115743531908
2019,0.19762673248528573,230,10409,52670,0.19762673248528573,1740774699405.3804,167237457.9119397,0.19762673248528573,False,10,221,0.9608695652173913,True,1,230,1.0,1.9014479584378643,2.0,5,1,0.00039528823329717345,5.8573116280564684e-08,0.9611353711790394,52670,50623,50623,1.0,1.0,0.5623875071197167,155954056.52200654,230,52670,0.5631769544180614,0.7504646936271032,0.00040845603656764374
