country_code,in_strength_post,in_strength_pre,out_strength_post,out_strength_pre,total_strength_post,total_strength_pre,betweenness_centrality_post,betweenness_centrality_pre,pagerank_centrality_post,pagerank_centrality_pre,in_degree_post,in_degree_pre,out_degree_post,out_degree_pre,total_degree_post,total_degree_pre,in_strength_change,in_strength_pct_change,out_strength_change,out_strength_pct_change,total_strength_change,total_strength_pct_change,betweenness_centrality_change,betweenness_centrality_pct_change,pagerank_centrality_change,pagerank_centrality_pct_change,in_degree_change,in_degree_pct_change,out_degree_change,out_degree_pct_change,total_degree_change,total_degree_pct_change
ARE,12909871714.868446,789236707.1195,93573039823.37468,38057428532.3065,106482911538.2431,38846665239.426,0.15588202501552229,0.052159286739882516,0.008423442442269178,0.0031103916626252373,117.11111111111111,75.125,159.55555555555554,125.0,276.6666666666667,200.125,12120635007.748947,1535.741419324752,55515611291.06818,145.87325899841505,67636246298.8171,174.11081718842667,0.10372273827563977,198.85766228534396,0.00531305077964394,170.81613365564422,41.986111111111114,55.88833425771862,34.55555555555554,27.64444444444443,76.54166666666669,38.24692900270665
AUS,28173853625.609116,12908934037.40975,72214313382.98657,25014433738.0925,100388167008.59567,37923367775.50225,0.12501537941587187,0.18482746743601877,0.026648720829739243,0.015436594315371262,80.77777777777777,63.0,119.22222222222223,116.375,200.0,179.375,15264919588.199366,118.25081407931926,47199879644.89407,188.69057816414656,62464799233.09342,164.71321746230686,-0.0598120880201469,-32.36103856741525,0.011212126514367982,72.63342085244352,17.77777777777777,28.21869488536154,2.8472222222222285,2.446592672156587,20.625,11.498257839721255
CHN,181328406766.5021,59053414667.355,28320726282.551773,9841500760.737,209649133049.05386,68894915428.092,0.162392669292027,0.08041914179885955,0.05343023178744666,0.03947740668889355,111.0,89.125,194.55555555555554,161.625,305.55555555555554,250.75,122274992099.1471,207.05829254398944,18479225521.814774,187.7683695919455,140754217620.96185,204.30276566326856,0.08197352749316746,101.93285536196801,0.013952825098553105,35.34382389529794,21.875,24.544179523141654,32.93055555555554,20.37466701039786,54.80555555555554,21.85665226542594
DEU,69688132679.551,51085479068.2215,20202048248.437218,15859716116.090626,89890180927.98822,66945195184.312126,0.06961382067742525,0.09439995757709474,0.018962680839750078,0.023557802286282323,113.88888888888889,96.0,177.0,174.625,290.8888888888889,270.625,18602653611.3295,36.41475806948351,4342332132.346592,27.379633409333458,22944985743.676094,34.27428313638408,-0.024786136899669492,-26.256512752590066,-0.004595121446532246,-19.505730588493726,17.888888888888886,18.634259259259256,2.375,1.3600572655690766,20.263888888888914,7.487811136771885
FRA,67300361905.48824,57947758434.892876,11630514110.785889,9246794529.19125,78930876016.27411,67194552964.08412,0.03528796804242508,0.08045296068437666,0.021409722058864974,0.026425591872740538,133.77777777777777,111.875,186.77777777777777,173.25,320.55555555555554,285.125,9352603470.595367,16.139715708077773,2383719581.594639,25.778874766487597,11736323052.189987,17.46618220447589,-0.045164992641951576,-56.138384787525,-0.005015869813875563,-18.981106792350452,21.90277777777777,19.577901924270634,13.527777777777771,7.808241141574471,35.43055555555554,12.426323737152318
IND,115352473981.83989,30033074429.44,35818554675.77333,9119550258.283875,151171028657.61322,39152624687.72388,0.3391156483014911,0.15110396275421678,0.02969964508522929,0.010907431871150824,113.77777777777777,76.0,165.88888888888889,112.5,279.6666666666667,188.5,85319399552.39989,284.0848004184524,26699004417.489456,292.7666788527979,112018403969.88934,286.1070103558401,0.18801168554727432,124.42538376911467,0.018792213214078465,172.28815578286745,37.77777777777777,49.70760233918128,53.388888888888886,47.45679012345679,91.16666666666669,48.364279398762164
ITA,64060875220.54855,37257316232.27151,16328620262.373222,10016702190.380499,80389495482.92178,47274018422.65201,0.07081375122184623,0.11087717487194446,0.014031775780791143,0.016111980290398502,99.0,89.375,166.11111111111111,159.5,265.1111111111111,248.875,26803558988.277046,71.94173305768162,6311918071.992723,63.01393364828546,33115477060.269775,70.05005744212772,-0.040063423650098226,-36.13315697876388,-0.0020802045096073585,-12.910917665701218,9.625,10.76923076923077,6.611111111111114,4.144897248345527,16.236111111111086,6.5238015514258505
JPN,94354143127.70155,92521439887.68913,8157088526.57411,4420912554.59275,102511231654.27567,96942352442.28189,0.012998674452720455,0.02132966345905355,0.024530813143714567,0.044692702458969676,81.55555555555556,78.875,160.77777777777777,146.125,242.33333333333334,225.0,1832703240.0124207,1.9808416754398994,3736175971.9813604,84.51141988999449,5568879211.993774,5.744526588943059,-0.008330989006333096,-39.05822997313602,-0.02016188931525511,-45.112262642351546,2.680555555555557,3.3984856488818473,14.652777777777771,10.027563919779485,17.333333333333343,7.703703703703709
KOR,116538530576.61234,57037491467.91825,38460166683.02121,14422325735.632751,154998697259.63354,71459817203.55101,0.16782632713035453,0.09916083908771486,0.03139900247838758,0.03354096806053914,110.44444444444444,85.875,173.44444444444446,128.25,283.8888888888889,214.125,59501039108.694084,104.31917249053897,24037840947.38846,166.67104451814578,83538880056.08253,116.90329380234029,0.06866548804263967,69.24657826049669,-0.0021419655821515587,-6.386117354411054,24.569444444444443,28.61070677664564,45.19444444444446,35.239332900151624,69.76388888888891,32.580917169358514
KWT,780907113.4227778,159716742.1315,52986191095.50833,33293734964.42775,53767098208.931114,33453451706.55925,0.0005471593108543,0.003173750195891425,0.0010194449424294665,0.0009624602326241125,54.111111111111114,52.25,68.55555555555556,57.875,122.66666666666667,110.125,621190371.2912778,388.93253330939564,19692456131.08058,59.14763288685011,20313646502.371864,60.722124223698415,-0.002626590885037125,-82.75984948145495,5.6984709805353974e-05,5.920733955935743,1.8611111111111143,3.5619351408825155,10.680555555555557,18.454523638108956,12.541666666666671,11.388573590616728
