algorithm,year,nodes,edges,retention_rate,total_weight,usa_degree,usa_strength
alpha_0.01,2001,238,72,0.009298721425803952,295423818280.62805,8,81231788230.0
alpha_0.01,2002,238,70,0.008906985621580354,264694876140.14398,7,72280989350.0
alpha_0.01,2003,236,78,0.009779338014042127,367891851574.49805,7,106887183810.0
alpha_0.01,2004,238,92,0.010874704491725768,399764188779.0731,6,64320058697.0
alpha_0.01,2005,236,85,0.009951996253366116,408089313831.549,7,61618927538.0
alpha_0.01,2006,238,78,0.008733624454148471,475235343858.379,6,64886318590.0
alpha_0.01,2007,237,81,0.008725627491112787,564908605820.6351,7,74790256817.68
alpha_0.01,2008,239,93,0.0097771236333053,777240605252.0391,7,105380302456.93
alpha_0.01,2009,240,82,0.008455351618890493,593640222934.094,6,86986024593.0
alpha_0.01,2010,240,92,0.00925553319919517,712785406588.9451,8,121480164226.0
alpha_0.01,2011,240,103,0.010123845095341066,870156949305.991,8,119914099509.76001
alpha_0.01,2012,243,116,0.011392653702612453,973030385846.5309,9,132300830391.05
alpha_0.01,2013,244,109,0.010622746321021344,986172146477.7178,12,147952892412.35
alpha_0.01,2014,241,117,0.011286899479066179,945777983560.305,11,146073649447.57
alpha_0.01,2015,241,123,0.011612537764350454,724079460226.291,8,107734790642.9
alpha_0.01,2016,240,121,0.011380737396538752,637712684890.4241,9,108690399645.5
alpha_0.01,2017,239,127,0.01173318551367332,727366252819.3613,7,96714236217.6
alpha_0.01,2018,240,117,0.010672261242360667,817201486652.411,9,128194364206.3
alpha_0.01,2019,240,116,0.010591672753834916,740792916324.7932,12,151431759316.2
alpha_0.01,2020,240,110,0.010243039389142379,609349916036.2869,8,94962774856.7
alpha_0.01,2021,240,120,0.010888304146629163,871168371515.656,12,195005556276.7
alpha_0.01,2022,241,128,0.011557562076749435,1187160118709.7507,14,281861752580.5
alpha_0.01,2023,241,127,0.011375850949480473,919541306860.6936,10,198175356627.0
alpha_0.01,2024,241,99,0.010867178924259056,773882193134.376,10,202336554215.5
alpha_0.05,2001,238,90,0.01162340178225494,343680974083.678,9,87052085805.0
alpha_0.05,2002,238,100,0.01272426517368622,322082516254.844,8,78442422133.0
alpha_0.05,2003,236,111,0.013916750250752256,433740819082.2311,8,107390759363.0
alpha_0.05,2004,238,125,0.014775413711583925,472304661219.55005,8,77422870904.0
alpha_0.05,2005,236,119,0.013932794754712563,530423020391.995,9,71240568803.575
