ProjectID,Fuel,StartCountry,EndCountry,Countries,Wiki,PipelineName,SegmentName,OtherEnglishNames,Status,Owner,Parent,StartYear1,StartYear2,StartYear3,StopYear,ShelvedYear,Capacity,CancelledYear,CapacityUnits,CapacityBcm/y,CapacityBOEd,LengthKnownKm,LengthEstimateKm,LengthMergedKm,Diameter,DiameterUnits,FuelSource,StartLocation,StartPrefecture/District,StartState/Province,StartRegion,EndLocation,StartSubRegion,EndPrefecture/District,EndState/Province,EndRegion,FIDStatus,EndSubRegion,FIDYear,OtherLanguagePrimaryPipelineName,OtherLanguageSegmentName,Cost,CostUnits,CostUSD,LastUpdated
P0061,Gas,United States,United States,United States,https://www.gem.wiki/Double_E_Pipeline_Project,Double E Pipeline Project,,,operating,Summit Midstream Partners LP (70%); ExxonMobil (30%),Summit Midstream Partners LP [70.00%]; ExxonMobil Corp [30.00%],2021,,,,,1350,,MMcf/d,13.8,222377.4,217.6,190.3,217.6,"30, 42",in,Delaware Basin,,Eddy County,New Mexico,Americas,Waha,Northern America,,Texas,Americas,,Northern America,,,,450000000,USD,450000000,2023-08-21
P0143,Gas,United States,United States,United States,https://www.gem.wiki/Acadian_Gas_Pipeline_System,Acadian Gas Pipeline System,,,operating,Enterprise Products Partners (100%),Enterprise Products Partners LP [100.00%],,,,,,1000,,MMcf/d,10.22,164724,1609.34,1097.9,1609.34,,,Haynesville shale field,Haynesville shale field,,Louisiana,Americas,,Northern America,,Louisiana,Americas,,Northern America,,,,,,--,2023-08-18
P0144,Gas,United States,United States,United States,https://www.gem.wiki/Algonquin_Gas_Transmission_Pipeline,Algonquin Gas Transmission Pipeline,Access Northeast Gas Pipeline,,cancelled,Enbridge (100%),Enbridge Inc [100.00%],,,,,,925,2017,MMcf/d,9.45,152369.7,197.95,144.01,197.95,,,,,Boston,Massachusetts,Americas,,Northern America,Danbury,Connecticut,Americas,,Northern America,,,,3000000000,USD,3000000000,2023-08-21
P0145,Gas,United States,United States,United States,https://www.gem.wiki/Access_South_Gas_Pipeline,Access South Gas Pipeline,,,operating,Enbridge (100%),Enbridge Inc [100.00%],2017,,,,,320,,MMcf/d,3.27,52711.68,1287,1151.92,1287,,,,Uniontown,,Pennsylvania,Americas,Kosciusko,Northern America,,Mississippi,Americas,,Northern America,,,,256000000,USD,256000000,2023-08-21
P0146,Gas,United States,Canada,"United States, Canada",https://www.gem.wiki/Alaska_Gas_Pipeline,Alaska Gas Pipeline,,,cancelled,TC Energy; ExxonMobil,ExxonMobil Corp [unknown %]; TC Energy Corp [unknown %],,,,,,4100,2014,MMcf/d,41.9,675368.4,--,3092.29,3092.29,,,,Prudhoe Bay,,Alaska,Americas,Caroline,Northern America,,Alberta,Americas,,Northern America,,,,,,--,2023-09-06
P0147,Gas,United States,United States,United States,https://www.gem.wiki/Alaska_LNG_Pipeline_(AKLNG),Alaska LNG Pipeline (AKLNG),,Alaska Nikiski LNG project,proposed,Alaska Gasline Development Corporation (100%),Alaska Gasline Development Corp [100.00%],2029,,,,,3500,,MMcf/d,35.77,576534,1295.52,1393.59,1295.52,42,in,North Slope Borough,Prudhoe Bay,,Alaska,Americas,Nikiski,Northern America,,Alaska,Americas,Pre-FID,Northern America,2025,,,10700000000,USD,10700000000,2024-07-10
P0149,Gas,United States,United States,United States,https://www.gem.wiki/Algonquin_Gas_Transmission_Pipeline,Algonquin Gas Transmission Pipeline,,,operating,Enbridge (100%),Enbridge Inc [100.00%],1997,,,,,3120,,MMcf/d,31.89,513938.88,1816.95,1108.03,1816.95,,,,Lambertville,,New York,Americas,Boston,Northern America,,Massachusetts,Americas,,Northern America,,,,,,--,2023-08-21
P0150,Gas,United States,United States,United States,https://www.gem.wiki/Algonquin_Gas_Transmission_Pipeline,Algonquin Gas Transmission Pipeline,Algonquin Incremental Market (AIM) Gas Pipeline,,operating,Enbridge (100%),Enbridge Inc [100.00%],2016,,,,,342,,MMcf/d,3.5,56335.61,59.55,27.23,59.55,42,in,Marcellus/Utica natural gas,Rockland County,,New York,Americas,Westchester County,Northern America,,New York,Americas,,Northern America,,,,972000000,USD,972000000,2023-08-21
P0151,Gas,Canada,United States,"Canada, United States",https://www.gem.wiki/Alliance_Gas_Pipeline,Alliance Gas Pipeline,,,operating,Alliance USA (50%); Alliance Canada (50%),Pembina Pipeline Corp [100.00%],2000,,,,,1600,,MMcf/d,16.35,263558.4,3848,3641.8,3848,,,"Western Canadian Sedimentary Basin, Willis​ton Basin",,,British Columbia,Americas,Chicago,Northern America,,Illinois,Americas,,Northern America,,,,,,--,2023-09-14
P0152,Gas,United States,United States,United States,https://www.gem.wiki/ANR_Gas_Pipeline,ANR Gas Pipeline,,,operating,ANR Pipeline Company (100%),TC Energy Corp [100.00%],1949,,,,,6000,,MMcf/d,61.32,988344,2896.82,11727.75,2896.82,,,,,,Texas,Americas,Chicago,Northern America,,Illinois,Americas,,Northern America,,,,,,--,2024-07-22
