TerminalID,ProjectID,ComboID,Wiki,TerminalName,UnitName,FacilityType,Status,Country,OtherLanguageName,OtherEnglishNames,Owner,Parent,ParentHQCountry,Capacity,CapacityUnits,CapacityInMtpa,CapacityInBcm/y,ProposalYear,ProposalMonth,ConstructionYear,ConstructionMonth,StartYear1,StartMonth1,StartYear2,StartYear3,DelayedStartYear,DelayedStartMonth,Delayed,DelayType,StartYearEarliest,ShelvedYear,CancelledYear,ShelvedCancelledStatusType,StopYear,Location,Region,SubRegion,Prefecture/District,State/Province,Latitude,Longitude,Accuracy,PowerPlantsSupplied,Cost,CostUnits,CostUSD,FIDStatus,FIDYear,Floating,FloatingVesselName,TempFacility,ImportExportOnly,LH2,NH3,E-methane,CCS,LastUpdated
T0205,1,T020501,https://www.gem.wiki/Fourchon_LNG_Terminal,Fourchon LNG Terminal,Phase 1,Export,Cancelled,United States,,Gulf Coast LNG Terminal,Fourchon LNG LLC [100.00%],Energy World [100.00%],Australia,2,mtpa,2,2.72,2017,,,,2021,,,,,,yes,Presumed,2021,2022,2024,Presumed,,Port Fourchon,Americas,Northern America,Lafourche Parish,Louisiana,29.105833,-90.194444,approximate,,888000000,USD,888000000,Pre-FID,,,,,,,,,,2024/7/3
T0205,2,T020502,https://www.gem.wiki/Fourchon_LNG_Terminal,Fourchon LNG Terminal,Phase 2,Export,Cancelled,United States,,Gulf Coast LNG Terminal,Fourchon LNG LLC [100.00%],Energy World [100.00%],Australia,3,mtpa,3,4.08,2017,,,,2023,,,,,,yes,Presumed,2023,2022,2024,Presumed,,Port Fourchon,Americas,Northern America,Lafourche Parish,Louisiana,29.105833,-90.194444,approximate,,,,--,Pre-FID,,,,,,,,,,2024/7/3
T0206,1,T020601,https://www.gem.wiki/Alaska_LNG_Terminal,Alaska LNG Terminal,T1,Export,Proposed,United States,,Alaska South Central LNG Terminal,Alaska Gasline Development Corporation [100.00%],State of Alaska [100.00%],United States,6.7,mtpa,6.7,9.11,2017,,,,2030,,,,,,yes,Confirmed,2030,,,,,Nikiski,Americas,Northern America,,Alaska,60.65996,-151.36505,exact,,5600000000,USD,5600000000,Pre-FID,2025,,,,,,,,,2024/7/3
T0206,2,T020602,https://www.gem.wiki/Alaska_LNG_Terminal,Alaska LNG Terminal,T2,Export,Proposed,United States,,Alaska South Central LNG Terminal,Alaska Gasline Development Corporation [100.00%],State of Alaska [100.00%],United States,6.7,mtpa,6.7,9.11,2017,,,,2030,,,,,,yes,Confirmed,2030,,,,,Nikiski,Americas,Northern America,,Alaska,60.65996,-151.36505,exact,,5600000000,USD,5600000000,Pre-FID,2025,,,,,,,,,2024/7/3
T0206,3,T020603,https://www.gem.wiki/Alaska_LNG_Terminal,Alaska LNG Terminal,T3,Export,Proposed,United States,,Alaska South Central LNG Terminal,Alaska Gasline Development Corporation [100.00%],State of Alaska [100.00%],United States,6.7,mtpa,6.7,9.11,2017,,,,2030,,,,,,yes,Confirmed,2030,,,,,Nikiski,Americas,Northern America,,Alaska,60.65996,-151.36505,exact,,5600000000,USD,5600000000,Pre-FID,2025,,,,,,,,,2024/7/3
T0207,1,T020701,https://www.gem.wiki/Alturas_LNG_Terminal,Alturas LNG Terminal,,Export,Cancelled,United States,,,Alturas LLC [100.00%],Highstar Capital IV [unknown %]; WesPac Energy LLC [unknown %],United States; United States,1.5,mtpa,1.5,2.04,2014,,,,2016,,,,,,,,2016,2016,2018,Presumed,,Port Arthur,Americas,Northern America,,Texas,29.885,-93.94,approximate,,,,--,,,,,,,,,,,2024/7/8
T0208,1,T020801,https://www.gem.wiki/American_LNG_Hialeah_Terminal,American LNG Hialeah Terminal,,Export,Operating,United States,,,Fortress Investment Group [100.00%],Softbank [100.00%],United States,0.01,bcf/d,0.06,0.08,,,,,2016,,,,,,,,2016,,,,,Medley,Americas,Northern America,,Florida,25.809175,-80.296697,approximate,,,,--,,,,,,,,,,,2024/7/8
T0209,1,T020901,https://www.gem.wiki/American_LNG_Titusville_Terminal,American LNG Titusville Terminal,,Export,Cancelled,United States,,,American LNG Marketing LLC [100.00%],Fortress Investment Group [100.00%],United States,0.08,bcf/d,0.63,0.85,2015,,,,,,,,,,,,--,2019,2021,Presumed,,Titusville,Americas,Northern America,,Florida,28.591111,-80.82,approximate,,,,--,,,,,,,,,,,2024/7/8
T0210,1,T021001,https://www.gem.wiki/Annova_LNG_Terminal,Annova LNG Brownsville Terminal,T1,Export,Cancelled,United States,,,Annova LNG [100.00%],Exelon Corporation [80.55%]; Enbridge [10.50%]; Black & Veatch Holding Company [4.48%]; Kiewit Corporation [4.48%],United States; Canada; United States; United States,1.08,mtpa,1.08,1.47,,,,,2025,,,,,,,,2025,,2021,Confirmed,,Brownsville,Americas,Northern America,,Texas,25.950835,-97.410844,approximate,,500000000,USD,500000000,Pre-FID,2021,,,,,,,,,2024/7/8
T0210,2,T021002,https://www.gem.wiki/Annova_LNG_Terminal,Annova LNG Brownsville Terminal,T2,Export,Cancelled,United States,,,Annova LNG [100.00%],Exelon Corporation [80.55%]; Enbridge [10.50%]; Black & Veatch Holding Company [4.48%]; Kiewit Corporation [4.48%],United States; Canada; United States; United States,1.08,mtpa,1.08,1.47,,,,,2025,,,,,,,,2025,,2021,Confirmed,,Brownsville,Americas,Northern America,,Texas,25.950835,-97.410844,approximate,,500000000,USD,500000000,Pre-FID,2021,,,,,,,,,2024/7/8
