TerminalID,ProjectID,Wiki,TerminalName,UnitName,FacilityType,Status,Country,Owner,Parent,Capacity,CapacityUnits,CapacityInMtpa,CapacityInBcm/y,StartYear1,StartMonth1,StartYear2,StartYear3,StopYear,ShelvedYear,CancelledYear,Location,Region,LastUpdated,问题类型,优先级
T0924,0,https://www.gem.wiki/Port_of_Vlora_FSRU,Port of Vlora FSRU,,Import,Shelved,Albania,Excelerate Energy [unknown %]; ExxonMobil [unknown %]; Ministry of Infrastructure and Energy of Albania [unknown %],Excelerate Energy [unknown %]; ExxonMobil [unknown %]; Ministry of Infrastructure and Energy of Albania [unknown %],,,--,--,2023.0,,,,,2024.0,,Port of Vlora,Europe,2024/7/26,CapacityInBcm/y缺失(--),HIGH
T1117,0,https://www.gem.wiki/Clifton_Pier_LNG_Terminal,Clifton Pier LNG Terminal,,Import,Shelved,Bahamas,BPL (Bahamas Power & Light) [unknown %]; Shell [unknown %],BPL (Bahamas Power & Light) [unknown %]; Shell [unknown %],,,--,--,,,,,,,,Clifton Pier,Americas,2024/9/4,CapacityInBcm/y缺失(--),HIGH
T0930,0,https://www.gem.wiki/Imetame_LNG_Terminal,Imetame LNG Terminal,,Import,Shelved,Brazil,Imetame Energia SA [100.00%],Imetame [100.00%],,,--,--,2025.0,,,,,,,Barra do Riacho,Americas,2024/9/13,CapacityInBcm/y缺失(--),HIGH
T0856,0,https://www.gem.wiki/Puerto_de_la_Luz_LNG_Terminal,Puerto de la Luz LNG Terminal,,Import,Shelved,Canary Islands,Totisa Holdings [100.00%],Totisa Holdings [100.00%],,,--,--,2023.0,,,,,2022.0,,Las Palmas,Africa,2023/9/11,CapacityInBcm/y缺失(--),HIGH
T1106,0,https://www.gem.wiki/Dandong_LNG_Terminal,Dandong LNG Terminal,,Import,Shelved,China,Liaoning Energy Investment (Group) Co Ltd [100.00%],Liaoning Energy Industry Holding Group Co Ltd [100.00%],,,--,--,,,,,,,,Donggang,Asia,2024/1/29,CapacityInBcm/y缺失(--),HIGH
T0949,0,https://www.gem.wiki/Jiujiang_LNG_Terminal,Jiujiang LNG Terminal,,Import,Shelved,China,Jiangxi Investment Gas Co Ltd [100.00%],Jiangxi Natural Gas Group Co Ltd [54.00%]; Sinopec Natural Gas Co Ltd [46.00%],,,--,--,2023.0,,,,,,,Hukou Shawan,Asia,2024/1/29,CapacityInBcm/y缺失(--),HIGH
T0950,0,https://www.gem.wiki/Panjin_LNG_Terminal,Panjin LNG Terminal,,Import,Shelved,China,Liaoning Baoheng Oil & Natural Gas Co Ltd [unknown %]; Liaoning Energy Investment Group [unknown %]; Panjin State Owned Asset Investment Management Group Co Ltd [unknown %],Liaoning Baoheng Oil & Natural Gas Co Ltd [unknown %]; Liaoning Energy Investment Group [unknown %]; Panjin State Owned Asset Investment Management Group Co Ltd [unknown %],,,--,--,,,,,,,,Panjin Port,Asia,2024/1/29,CapacityInBcm/y缺失(--),HIGH
T0608,0,https://www.gem.wiki/West_Yantai_LNG_Terminal,West Yantai LNG Terminal,,Import,Shelved,China,PetroChina Co Ltd [unknown %]; Yantai Port Group [unknown %],PetroChina Co Ltd [unknown %]; Yantai Port Group [unknown %],,,--,--,,,,,,,,Fushan Dajijia Town,Asia,2024/1/31,CapacityInBcm/y缺失(--),HIGH
T0446,1,https://www.gem.wiki/Dunkirk_LNG_Terminal,Dunkirk LNG Terminal,Debottlenecking,Import,Operating,France,Dunkerque LNG [100.00%],Fluxys [30.38%]; Axa [15.19%]; Credit Agricole Group [15.19%]; Hanwha Investment and Securities [13.08%]; IBK Securities [13.08%]; Samsung [13.08%],0.0,mtpa,0,0,2023.0,,,,,,,Dunkirk,Europe,2024/9/10,应有产能但容量为0,HIGH
T0448,1,https://www.gem.wiki/Fos_Cavaou_LNG_Terminal,Fos Cavaou LNG Terminal,Expansion 1 (Debottlenecking),Import,Operating,France,Engie [100.00%],Engie [100.00%],0.0,bcm/y,0,0,2022.0,,,,,,,Fos-sur-Mer,Europe,2024/9/10,应有产能但容量为0,HIGH
T1141,0,https://www.gem.wiki/Mukran_FSRU,Mukran FSRU,Vessel 1,Import,Operating,Germany,Deutsche ReGas [100.00%],Deutsche ReGas [100.00%],,,--,--,2024.0,9.0,,,,,,Rügen,Europe,2024/9/11,CapacityInBcm/y缺失(--),HIGH
T0904,0,https://www.gem.wiki/Karimun_Island_LNG_Terminal,Karimun Island LNG Terminal,,Import,Shelved,Indonesia,Panbil Group [100.00%],Panbil Group [100.00%],,,--,--,2024.0,,,,,2023.0,,,Asia,2024/7/12,CapacityInBcm/y缺失(--),HIGH
T1085,0,https://www.gem.wiki/Woodside_Probolinggo_LNG_Terminal,Woodside Probolinggo LNG Terminal,,Import,Shelved,Indonesia,PT Petrogas Jatim Utama [unknown %]; Woodside Energy [unknown %],PT Petrogas Jatim Utama [unknown %]; Woodside Energy [unknown %],,,--,--,,,,,,2023.0,,Probolinggo,Asia,2024/7/12,CapacityInBcm/y缺失(--),HIGH
T0474,1,https://www.gem.wiki/Toscana_LNG_Terminal,Toscana FSRU,Expansion (Efficiency),Import,Operating,Italy,OLT Offshore LNG Toscana [100.00%],Snam [49.07%]; Mitsubishi UFJ Financial Group [48.24%]; Golar LNG [2.69%],0.0,bcm/y,0,0,2024.0,,,,,,,offshore,Europe,2024/7/26,应有产能但容量为0,HIGH
T0254,0,https://www.gem.wiki/Mombasa_LNG_Terminal,Mombasa LNG Terminal,,Import,Shelved,Kenya,Kenya Ministry Of Energy And Petroleum [100.00%],Kenya Ministry Of Energy And Petroleum [100.00%],,,--,--,,,,,,2024.0,,Mombasa,Africa,2024/7/17,CapacityInBcm/y缺失(--),HIGH
T0486,1,https://www.gem.wiki/Riga_FSRU,Riga FSRU,Revived Project,Import,Shelved,Latvia,Latvenergo [100.00%],Latvenergo [100.00%],,,--,--,,,,,,2024.0,,Riga,Europe,2024/7/24,CapacityInBcm/y缺失(--),HIGH
T0964,0,https://www.gem.wiki/Selaata_FSRU,Selaata FSRU,,Import,Shelved,Lebanon,Lebanese Ministry of Energy and Water [100.00%],Lebanese Ministry of Energy and Water [100.00%],,,--,--,,,,,,2022.0,,Selaata,Asia,2024/5/30,CapacityInBcm/y缺失(--),HIGH
T0965,0,https://www.gem.wiki/Zahrani_FSRU,Zahrani FSRU,,Import,Shelved,Lebanon,Lebanese Ministry of Energy and Water [100.00%],Lebanese Ministry of Energy and Water [100.00%],,,--,--,,,,,,2024.0,,Zahrani,Asia,2024/5/30,CapacityInBcm/y缺失(--),HIGH
T0788,0,https://www.gem.wiki/Dwiputra_FSRU,Dwiputra FSRU,,Import,Shelved,Mozambique,KARMOL [100.00%],Karpowership [unknown %]; Mitsui O.S.K. Lines [unknown %],,,--,--,,,,,,2022.0,,,Africa,2024/7/18,CapacityInBcm/y缺失(--),HIGH
T0880,0,https://www.gem.wiki/Mee_Laung_Gyaing_FSRU,Mee Laung Gyaing FSRU,,Import,Shelved,Myanmar,Supreme Trading Co Ltd [unknown %]; Zhefu Holding Group Co Ltd [unknown %],Supreme Group [unknown %]; ZHEFU Hydropower [unknown %],,,--,--,2023.0,,,,,2022.0,,Mata,Asia,2024/7/12,CapacityInBcm/y缺失(--),HIGH
T0905,0,https://www.gem.wiki/Rakhine_LNG_Terminal,Rakhine LNG Terminal,,Import,Shelved,Myanmar,CNTIC VPower [100.00%],CNTIC [unknown %]; VPower Group [unknown %],,,--,--,2022.0,,,,,2023.0,,Kyaukpyu,Asia,2024/7/12,CapacityInBcm/y缺失(--),HIGH
T0971,0,https://www.gem.wiki/SK_Group_Sri_Lanka_LNG_Terminal,SK Group Sri Lanka LNG Terminal,,Import,Shelved,Sri Lanka,SK Group [100.00%],SK Group [100.00%],,,--,--,,,,,,2022.0,,unknown,Asia,2024/7/10,CapacityInBcm/y缺失(--),HIGH
