Billion cubic metres,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Canada,89.2,84,87.5,89.8,87.8,87.6,87.1,93.7,92.5,89.7,91.6,100.6,99.4,105.4,109.8,110.3,105.6,109.6,117.7,118.7,115.3,118.6,123.8,124.1,128.5
Mexico,35.9,36.2,41.1,44.5,48,52.7,58.3,57,60,65.2,66,70.8,73.7,77.8,78.8,80.8,85.3,89.7,92.2,95.3,95.1,93.9,93.3,100.5,100.3
US,628.4,600.7,620.1,602.2,604.6,595.2,586.6,624.1,628.9,617.6,648.2,658.2,688.1,707,722.3,743.6,749.1,739.8,822,851,835.3,836.4,880.4,888.4,902.2
Total North America,753.5,720.9,748.6,736.5,740.5,735.5,731.9,774.8,781.4,772.5,805.8,829.6,861.2,890.3,911,934.7,940,939.1,1031.8,1064.9,1045.7,1049,1097.5,1113.1,1131
,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,32.3,30.2,29.4,33.6,36.8,39.3,40.7,42.7,43.2,41.8,42.1,43.8,45.7,46,46.2,46.7,48.2,48.3,48.7,46.6,43.9,45.9,45.9,44.9,45.6
Brazil,9.7,12.3,14.5,16.2,19.3,20.1,21.2,21.8,25.7,20.7,27.6,27.5,32.6,38.4,40.7,42.9,37.1,37.6,35.9,35.7,31.4,40.4,32,29.9,31.4
Chile,7,8,8,8.7,9.4,9.1,8.4,5,2.8,2.8,5.7,5.8,5.3,5.3,4.4,4.8,5.9,5.6,5.6,6.5,6.2,6.8,7.3,7.6,7.1
Colombia,5.7,5.9,6,5.7,6.1,6.4,6.8,7.2,7.3,8.4,8.7,8.5,9.5,10.5,11.4,11.2,12.1,11.8,12.7,12.9,13.1,12.6,12.6,13.1,13.4
Ecuador,0.3,0.3,0.1,0.2,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.9,0.9,0.8,0.9,0.9,0.8,0.7,0.6,0.6,0.5,0.5,0.6
Peru,0.3,0.4,0.4,0.5,0.8,1.5,1.7,2.6,3.3,3.3,5.4,6.3,6.9,6.7,7.4,7.6,8.5,7.5,8,8.2,8.2,8.9,9.8,10.1,11.3
