typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20010101,2001,52,2001,8,ALB,Albania,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,929764,FALSE,-1,N/A,,FALSE,929764,FALSE,,FALSE,321724,,321724,0,FALSE,FALSE
C,A,20010101,2001,52,2001,12,DZA,Algeria,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16,FALSE,-1,N/A,,FALSE,16,FALSE,,FALSE,131,,131,0,FALSE,FALSE
C,A,20010101,2001,52,2001,32,ARG,Argentina,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,440,FALSE,-1,N/A,,FALSE,440,FALSE,,FALSE,7747,,7747,0,FALSE,FALSE
C,A,20010101,2001,52,2001,36,AUS,Australia,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,487,FALSE,-1,N/A,,FALSE,487,FALSE,,FALSE,,11272,11272,0,FALSE,FALSE
C,A,20010101,2001,52,2001,44,BHS,Bahamas,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4313,FALSE,-1,N/A,,FALSE,4313,FALSE,,FALSE,989,,989,0,FALSE,FALSE
C,A,20010101,2001,52,2001,48,BHR,Bahrain,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,38,FALSE,-1,N/A,,FALSE,38,FALSE,,FALSE,306,,306,0,TRUE,FALSE
C,A,20010101,2001,52,2001,52,BRB,Barbados,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2,FALSE,-1,N/A,,FALSE,2,FALSE,,FALSE,12,,12,0,FALSE,FALSE
C,A,20010101,2001,52,2001,56,BEL,Belgium,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1270414209,TRUE,-1,N/A,,FALSE,1270414209,TRUE,,FALSE,338147197,,338147197,6,FALSE,FALSE
C,A,20010101,2001,52,2001,68,BOL,Bolivia (Plurinational State of),M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6013.64,TRUE,-1,N/A,0,FALSE,6013.64,TRUE,35,FALSE,1609,1475,1609,6,FALSE,TRUE
C,A,20010101,2001,52,2001,72,BWA,Botswana,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20886618,FALSE,-1,N/A,,FALSE,20886618,FALSE,,FALSE,5361544,,5361544,0,FALSE,FALSE
