year,us_production_oil,us_production_gas,us_prod_shock
2001,907435,10580312.0,0.41549881850700443
2002,653059,1959586.0,-0.3654420658854176
2003,929219,2325334.0,0.23638581987116652
2004,634759,9554276.0,0.04840203175174067
2005,332297,30872883.0,0.4400692365063845
2006,208340,8920834.0,-0.6914418377117387
2007,458474,17151162.0,0.1557221704040463
2008,490092,19802462.0,0.3319241553657592
2009,326437,5114544.0,-0.6240126429292723
2010,574157,8301188.0,-0.06586738089552976
2011,611304,1291009.0,-0.36864356643338725
2012,582899,10253947.0,-0.13835138368391403
2013,188365,14027935.0,-0.8428649985261376
2014,1200618,2951052.0,0.46207302568393127
2015,1117473,44961277.0,1.9658906960062772
2016,746195,12036993.0,-0.2681036159460882
2017,716299,6493522.0,-0.6859375242262113
2018,1021769,4945908.0,-0.3055390347945641
2019,1185914,1428953.0,-0.2829599729856474
2020,1364899,36424512.0,1.4104640201408045
2021,383078,8301199.0,-1.7860167317826248
2022,1404089,39248175.0,1.3222373852356109
2023,1175254,13226555.0,-0.36348660367219265
