year,gas_consumption_bcm,country,lng_import_capacity_bcm,OVI_LNG_raw,OVI_LNG_smoothed,OVI_LNG_clipped,OVI_LNG_final
2000,30.6,ARE,0.0,0.0,0.0,0.0,
2001,31.5,ARE,0.0,0.0,0.0,0.0,0.0
2002,35.5,ARE,0.0,0.0,0.0,0.0,0.0
2003,36.9,ARE,0.0,0.0,0.0,0.0,0.0
2004,39.2,ARE,0.0,0.0,0.0,0.0,0.0
2005,41.0,ARE,0.0,0.0,0.0,0.0,0.0
2006,42.3,ARE,0.0,0.0,0.0,0.0,0.0
2007,47.9,ARE,0.0,0.0,0.0,0.0,0.0
2008,58.0,ARE,0.0,0.0,0.0,0.0,0.0
2009,57.6,ARE,0.0,0.0,0.0,0.0,0.0
2010,59.3,ARE,8.16,0.13760539629005059,0.04586846543001686,0.04586846543001686,0.0
2011,61.6,ARE,8.16,0.13246753246753246,0.09002430958586101,0.09002430958586101,0.04586846543001686
2012,63.9,ARE,8.16,0.12769953051643193,0.132590819758005,0.132590819758005,0.09002430958586101
2013,64.6,ARE,8.16,0.12631578947368421,0.12882761748588287,0.12882761748588287,0.132590819758005
2014,63.9,ARE,8.16,0.12769953051643193,0.1272382835021827,0.1272382835021827,0.12882761748588287
2015,71.3,ARE,8.16,0.1144460028050491,0.12282044093172177,0.12282044093172177,0.1272382835021827
2016,71.5,ARE,18.5,0.25874125874125875,0.16696226402091327,0.16696226402091327,0.12282044093172177
2017,65.7,ARE,18.5,0.2815829528158295,0.21825673812071247,0.21825673812071247,0.16696226402091327
2018,58.1,ARE,18.5,0.31841652323580033,0.28624691159762955,0.28624691159762955,0.21825673812071247
2019,67.0,ARE,18.5,0.27611940298507465,0.2920396263455682,0.2920396263455682,0.28624691159762955
2020,67.7,ARE,18.5,0.2732644017725258,0.28926677599780026,0.28926677599780026,0.2920396263455682
2021,65.3,ARE,18.5,0.2833078101071976,0.27756387162159935,0.27756387162159935,0.28926677599780026
2022,66.4,ARE,18.5,0.27861445783132527,0.27839555657034953,0.27839555657034953,0.27756387162159935
2023,67.0,ARE,18.5,0.27611940298507465,0.2793472236411991,0.2793472236411991,0.27839555657034953
2024,71.3,ARE,18.5,0.2594670406732118,0.27140030049653724,0.27140030049653724,0.2793472236411991
2000,32.3,ARG,0.0,0.0,0.0,0.0,
2001,30.2,ARG,0.0,0.0,0.0,0.0,0.0
2002,29.4,ARG,0.0,0.0,0.0,0.0,0.0
2003,33.6,ARG,0.0,0.0,0.0,0.0,0.0
2004,36.8,ARG,0.0,0.0,0.0,0.0,0.0
2005,39.3,ARG,0.0,0.0,0.0,0.0,0.0
2006,40.7,ARG,0.0,0.0,0.0,0.0,0.0
2007,42.7,ARG,0.0,0.0,0.0,0.0,0.0
2008,43.2,ARG,5.17,0.11967592592592592,0.039891975308641976,0.039891975308641976,0.0
2009,41.8,ARG,5.17,0.1236842105263158,0.08112004548408057,0.08112004548408057,0.039891975308641976
2010,42.1,ARG,5.17,0.12280285035629453,0.12205432893617875,0.12205432893617875,0.08112004548408057
2011,43.8,ARG,13.47,0.3075342465753425,0.18467376915265096,0.18467376915265096,0.12205432893617875
2012,45.7,ARG,13.47,0.2947483588621444,0.24169515193126045,0.24169515193126045,0.18467376915265096
2013,46.0,ARG,13.47,0.29282608695652174,0.29836956413133625,0.29836956413133625,0.24169515193126045
2014,46.2,ARG,13.47,0.2915584415584416,0.29304429579236924,0.29304429579236924,0.29836956413133625
2015,46.7,ARG,13.47,0.2884368308351178,0.2909404531166937,0.2909404531166937,0.29304429579236924
2016,48.2,ARG,13.47,0.2794605809128631,0.28648528443547416,0.28648528443547416,0.2909404531166937
2017,48.3,ARG,13.47,0.27888198757763977,0.2822597997752069,0.2822597997752069,0.28648528443547416
2018,48.7,ARG,13.47,0.2765913757700205,0.27831131475350773,0.27831131475350773,0.2822597997752069
2019,46.6,ARG,13.47,0.2890557939914163,0.2815097191130255,0.2815097191130255,0.27831131475350773
2020,43.9,ARG,13.47,0.3068337129840547,0.29082696091516386,0.29082696091516386,0.2815097191130255
2021,45.9,ARG,13.47,0.2934640522875817,0.2964511864210176,0.2964511864210176,0.29082696091516386
2022,45.9,ARG,13.47,0.2934640522875817,0.29792060585307273,0.29792060585307273,0.2964511864210176
2023,44.9,ARG,13.47,0.30000000000000004,0.2956427015250545,0.2956427015250545,0.29792060585307273
2024,45.6,ARG,13.47,0.29539473684210527,0.296286263043229,0.296286263043229,0.2956427015250545
2000,20.6,AUS,0.0,0.0,0.0,0.0,
2001,22.2,AUS,0.0,0.0,0.0,0.0,0.0
2002,22.8,AUS,0.0,0.0,0.0,0.0,0.0
2003,23.0,AUS,0.0,0.0,0.0,0.0,0.0
2004,23.5,AUS,0.0,0.0,0.0,0.0,0.0
2005,23.3,AUS,0.0,0.0,0.0,0.0,0.0
2006,25.9,AUS,0.0,0.0,0.0,0.0,0.0
2007,29.0,AUS,0.0,0.0,0.0,0.0,0.0
2008,28.5,AUS,0.0,0.0,0.0,0.0,0.0
2009,29.1,AUS,0.0,0.0,0.0,0.0,0.0
2010,31.7,AUS,0.0,0.0,0.0,0.0,0.0
2011,33.1,AUS,0.0,0.0,0.0,0.0,0.0
2012,33.3,AUS,0.0,0.0,0.0,0.0,0.0
2013,35.0,AUS,0.0,0.0,0.0,0.0,0.0
2014,37.6,AUS,0.0,0.0,0.0,0.0,0.0
2015,39.0,AUS,0.0,0.0,0.0,0.0,0.0
2016,38.0,AUS,0.0,0.0,0.0,0.0,0.0
2017,37.3,AUS,0.0,0.0,0.0,0.0,0.0
2018,37.2,AUS,0.0,0.0,0.0,0.0,0.0
2019,44.1,AUS,0.0,0.0,0.0,0.0,0.0
2020,42.3,AUS,0.0,0.0,0.0,0.0,0.0
2021,39.6,AUS,0.0,0.0,0.0,0.0,0.0
2022,43.2,AUS,1.36,0.03148148148148148,0.010493827160493826,0.010493827160493826,0.0
2023,38.6,AUS,0.0,0.0,0.010493827160493826,0.010493827160493826,0.010493827160493826
2024,37.0,AUS,0.0,0.0,0.010493827160493826,0.010493827160493826,0.010493827160493826
2000,7.8,AUT,0.0,0.0,0.0,0.0,
2001,8.3,AUT,0.0,0.0,0.0,0.0,0.0
2002,8.1,AUT,0.0,0.0,0.0,0.0,0.0
2003,9.0,AUT,0.0,0.0,0.0,0.0,0.0
2004,9.0,AUT,0.0,0.0,0.0,0.0,0.0
2005,9.5,AUT,0.0,0.0,0.0,0.0,0.0
2006,9.0,AUT,0.0,0.0,0.0,0.0,0.0
2007,8.5,AUT,0.0,0.0,0.0,0.0,0.0
2008,9.1,AUT,0.0,0.0,0.0,0.0,0.0
2009,8.8,AUT,0.0,0.0,0.0,0.0,0.0
2010,9.6,AUT,0.0,0.0,0.0,0.0,0.0
2011,9.0,AUT,0.0,0.0,0.0,0.0,0.0
2012,8.6,AUT,0.0,0.0,0.0,0.0,0.0
2013,8.2,AUT,0.0,0.0,0.0,0.0,0.0
2014,7.5,AUT,0.0,0.0,0.0,0.0,0.0
2015,8.0,AUT,0.0,0.0,0.0,0.0,0.0
2016,8.3,AUT,0.0,0.0,0.0,0.0,0.0
2017,9.1,AUT,0.0,0.0,0.0,0.0,0.0
2018,8.7,AUT,0.0,0.0,0.0,0.0,0.0
2019,8.9,AUT,0.0,0.0,0.0,0.0,0.0
2020,8.5,AUT,0.0,0.0,0.0,0.0,0.0
2021,9.0,AUT,0.0,0.0,0.0,0.0,0.0
2022,7.9,AUT,0.0,0.0,0.0,0.0,0.0
2023,6.9,AUT,0.0,0.0,0.0,0.0,0.0
2024,6.8,AUT,0.0,0.0,0.0,0.0,0.0
2000,5.3,AZE,0.0,0.0,0.0,0.0,
2001,7.6,AZE,0.0,0.0,0.0,0.0,0.0
2002,7.6,AZE,0.0,0.0,0.0,0.0,0.0
2003,7.8,AZE,0.0,0.0,0.0,0.0,0.0
2004,9.1,AZE,0.0,0.0,0.0,0.0,0.0
2005,9.4,AZE,0.0,0.0,0.0,0.0,0.0
2006,10.0,AZE,0.0,0.0,0.0,0.0,0.0
2007,8.8,AZE,0.0,0.0,0.0,0.0,0.0
2008,10.1,AZE,0.0,0.0,0.0,0.0,0.0
2009,8.6,AZE,0.0,0.0,0.0,0.0,0.0
2010,8.2,AZE,0.0,0.0,0.0,0.0,0.0
2011,8.9,AZE,0.0,0.0,0.0,0.0,0.0
2012,9.4,AZE,0.0,0.0,0.0,0.0,0.0
2013,9.4,AZE,0.0,0.0,0.0,0.0,0.0
2014,9.9,AZE,0.0,0.0,0.0,0.0,0.0
2015,11.1,AZE,0.0,0.0,0.0,0.0,0.0
2016,10.9,AZE,0.0,0.0,0.0,0.0,0.0
2017,10.6,AZE,0.0,0.0,0.0,0.0,0.0
2018,10.8,AZE,0.0,0.0,0.0,0.0,0.0
2019,11.8,AZE,0.0,0.0,0.0,0.0,0.0
2020,12.4,AZE,0.0,0.0,0.0,0.0,0.0
2021,12.8,AZE,0.0,0.0,0.0,0.0,0.0
2022,13.6,AZE,0.0,0.0,0.0,0.0,0.0
2023,14.0,AZE,0.0,0.0,0.0,0.0,0.0
