country,year,P_lng,trade_value_usd,net_weight_kg
ABW,2010,36.0,72.0,2.0
ABW,2011,9.5,950.0,100.0
ABW,2012,9.708333333333334,466.0,48.0
ABW,2016,5.432727272727273,59.76,11.0
AGO,2004,0.048300021018285906,3864.603,103820.0
AGO,2005,2.7008153628207143,17158.28,6353.0
AGO,2006,0.9380393919845174,23265.253,24802.0
AGO,2007,19.5748031496063,4972.0,254.0
AGO,2008,23.619434654919235,16084.835,681.0
AGO,2009,27.0548686244204,175045.0,6470.0
AGO,2010,5.038286235186873,11054.0,2194.0
AGO,2011,21.698287671232876,63359.0,2920.0
AGO,2012,14.144829750509963,180290.0,12746.0
AGO,2013,25.273684210526316,45619.0,1805.0
AGO,2014,1.9646043263267006,115615.0,58849.0
AGO,2018,2.5837581638940237,8386.879,3246.0
AGO,2019,2.0458170896391676,72324.094,35352.18
AGO,2020,1.669215335290133,46205.967,27681.25
AGO,2021,1.4849438267207649,71916.572,48430.5
AGO,2022,1.6278981336235876,50850.654,31237.0
AGO,2023,1.643649141387397,43454.796,26438.0
AIA,2006,2.6666666666666665,256.0,96.0
AIA,2007,2.6875,43.0,16.0
AIA,2008,3.3846153846153846,88.0,26.0
ALB,2001,0.34602759409914774,321724.0,929764.0
ALB,2002,0.28781999419591425,261831.0,909704.0
ALB,2003,0.3326974791498325,5636225.0,16940991.0
ALB,2004,0.4120856532042171,11019908.0,26741790.0
ALB,2005,0.4371211586458326,9790523.0,22397733.0
ALB,2006,1.0598476536390349,168077.0,158586.0
ALB,2007,1.287991498405951,77568.0,60224.0
ALB,2008,2.5979920518719934,12421.0,4781.0
ALB,2011,14.625,1053.0,72.0
ALB,2012,4.542424242424242,1499.0,330.0
AND,2004,2.315,926.0,400.0
AND,2011,53.25833333333333,319.55,6.0
AND,2016,0.3517478018732596,166742.528,474040.0
AND,2017,0.38076108988538104,492316.474,1292980.0
AND,2018,0.4343432951689169,640058.704,1473624.0
AND,2019,0.5006118208834305,973841.677,1945303.0
AND,2020,0.4404908278258839,814738.883,1849616.0
AND,2021,0.46298441362354337,1184850.266,2559158.0
AND,2022,1.5809558892357067,4043356.344,2557539.0
AND,2023,0.9462303489837827,2768435.336,2925752.0
ARE,2005,0.3378000169620897,191184.0,565968.0
ARE,2007,1.7154331693724945,120667.0,70342.0
ARE,2008,1.1782924070588543,269816.0,228989.0
ARE,2012,0.5419166161026294,3256313.0,6008882.0
ARE,2020,1.020293867784247,205708.099,201616.52
ARE,2022,14.422067926746386,7851.518,544.41
ARG,2001,17.60681818181818,7747.0,440.0
ARG,2002,18.48917748917749,4271.0,231.0
ARG,2005,8.902439024390244,730.0,82.0
ARG,2006,22.666666666666668,204.0,9.0
ARG,2007,0.6,3.0,5.0
ARG,2008,0.8409978194085005,275802542.0,327946798.0
ARG,2009,0.3936654154620863,251454227.0,638751125.0
ARG,2010,0.39188751383438186,499006137.0,1273340230.0
ARG,2011,0.636636730393255,1927429162.0,3027518002.0
ARG,2012,0.8203137284410755,2695299748.0,3285693820.0
ARG,2013,0.8473055232581636,3590317851.0,4237335592.0
ARG,2014,0.8111282677372867,3460365091.0,4266113300.0
ARG,2015,0.5544026807956596,2169238424.0,3912748800.0
ARG,2016,0.2836471280379149,996704920.2,3513890400.0
ARG,2017,0.2988617888751592,973710207.7,3258061900.0
ARG,2018,0.40834176449272497,1037059985.0,2539686300.0
ARG,2019,0.3443295490163503,431599983.4,1253450320.0
ARG,2020,0.17159255317021407,226516103.5,1320081200.0
ARG,2021,0.4611341082767133,1178102238.0,2554793100.0
ARG,2022,1.5357071824609214,2566884645.0,1671467500.0
ARG,2023,0.9501577191011438,1799875976.0,1894291800.0
ARG,2024,0.5927279121113163,675501161.8,1139647970.0
ARM,2011,2.808333333333333,337.0,120.0
ARM,2012,80.0,400.0,5.0
ARM,2016,0.4,14780.0,36950.0
ARM,2018,0.4,97928.0,244820.0
ARM,2023,3.0,126.0,42.0
ATG,2006,520.0,16148.0,25.0
ATG,2018,23.247500000000002,139.485,6.0
ATG,2021,0.5836739104450388,84478.452,144735.7
ATG,2022,0.49529953865914783,290132.007,585770.8
ATG,2023,0.42628936584738003,551124.029,1292840.2
ATG,2024,0.4663620078541485,619191.636,1327706.0
AUS,2001,23.145790554414784,11272.0,487.0
AUS,2003,25.884816753926703,4944.0,191.0
AUS,2004,19.43220338983051,2293.0,118.0
AUS,2005,0.048300021018285906,76541.0,1767139.0
AUS,2006,87.71951219512195,14386.0,164.0
AUS,2007,66.20689655172414,3840.0,58.0
AUS,2009,520.0,3210.0,6.0
AUS,2010,37.39325842696629,3328.0,89.0
AUS,2011,0.7126101407855169,43967001.0,61698534.0
AUS,2013,1.8107315028295954,17278.0,9542.0
AUS,2014,122.88760806916426,42642.0,347.0
AUS,2015,0.41292404972689445,28406963.0,68794644.0
AUS,2016,0.7514644351464436,2694.0,3585.0
AUS,2017,0.6303256582343831,54942.336,87165.0
AUS,2019,0.048300021018285906,2906.056,102041.0
AUS,2022,4.985716238982928,41933.912,8410.81
AUS,2023,8.809297448572524,14441.927,1639.396
AUT,2002,21.61,2161.0,100.0
AUT,2008,0.5184210526315789,197.0,380.0
AUT,2021,0.978265938988695,1480595.716,1513490.0
AUT,2022,2.12315309384535,6297378.234,2966050.0
AUT,2023,1.0641752823254043,3268944.274,3071810.0
AUT,2024,0.722031773760796,2212059.864,3063660.0
AZE,2002,8.271186440677965,1952.0,236.0
